id,FalseSent,OptionA,OptionB,OptionC,label
348,I can cook any food simply,people like cooking food,some foods are simple to cook,Some foods are difficult to cook,C
349,I saw a square pizza.,Nobody can make a square pizza.,Square pizza taste better than round one,Pizza is usually round.,C
350,I saw an island on land.,Islands are hard to be seen by people,An island is a small land.,the island is surrounded by water,C
351,I have free access to all museums without tickets,people can enter some museums without tickets,people can enter most museums if they have tickets,Some museums need admission tickets,C
352,We cut down trees to protect the environment,Cutting down trees must damage the environment,"The more trees there are, the better the environment will be.",trees are usually beneficial to the environment.,C
353,People like diseases.,Diseases usually make people uncomfortable,Some diseases are good for people,Diseases make people ugly,A
354,My friend is my family member,My family member is my friend,my friend may become my family member,Family members are related by blood,C
355,I can use the money to buy all houses,people who have money can buy houses,Some houses can be bought with money,Some houses can't be bought and sold,C
356,a stone is an animal,a stone isn't a plant,some animals look like stone,Animals are alive and stone is not alive,C
357,We communicate in different languages,Language is used for communication.,communicating in different languages is weird,people can't communicate without language,B
358,Dogs like eating grass,Most dogs only eat meat.,cows like eating grass.,fish isn't a kind of meat,A
359,I saw a man wearing glasses of three lens,some people have only one eye,we have at most two eyes,some people have no eyes,B
360,I will laugh if my family is dead,people will laugh if their enemy is dead,the death of a family member makes people sad,Death may be a happy thing,B
361,a Man should play with violent tigers,Most tigers are stronger than humans,some tigers are close to humans,violent tigers are dangerous to humans,C
362,I will quit my job if I need money,people who have money may have jobs,people without jobs may have money.,people could get paid from jobs,C
363,I am happy because I am poor,money makes most people happy,some poor people are happy,some rich people are happy,A
364,I like cakes because I like salty food,I like salty food because I like cake,People can make salty cakes,most cakes are not salty,C
365,He walks faster than the driving car.,People walk very slowly while the car is fast,people may run faster than car,some cars are very slow,A
366,today I will go to the amusement park to see elephants.,An amusement park is a place to play instead of a place to see animals.,an amusement park is a kind of public park,an amusement park has a lot of things that you can ride and play on,A
367,eating fruits and vegetables makes me fat,eating fruits and vegetables makes people thin,fruits and vegetables are beneficial to the human body,fat people could eat fruits and vegetables,B
368,"She doesn't like flowers, so I send her roses.",A rose is classified as a flower,she must be allergic to flowers,people should send flowers except for roses,A
369,I saw a man breathing in the water.,Fish can breathe in water,the human can only breath in the air.,Dogs can't breathe in water,B
370,He lay under the watermelon tree,Watermelon trees do not exist,Some trees are taller than people.,most of the watermelons are green,A
371,today I will go to my hometowns,Everyone has only one hometown.,people were born in their hometown,Different people have different hometowns.,A
372,My blood type is the same as everyone.,Different people may have the same blood type,there are many blood types but everyone has only one blood type.,Different people have different blood types,B
373,I drink coffee before I go to bed.,Coffee is a drink,coffee will awake people up,people can drink coffee if they don't want to sleep,B
374,He is a hunter afraid of little animals.,Not afraid of animals is necessary to hunters,most animals fear hunters,some animals is dangerous,A
375,I use calculators to play computer games.,people can use computers to play computer games,Calculators can only be used for calculations,people can use calculators to calculate,B
376,I have a light bulb emitting black light.,some light bulb is black,some light bulb can emit colorful lights,There is no black light in the world.,C
377,some monkeys teach human acrobatics,Human ancestors are monkeys.,monkeys are not qualified to teach human,Human beings are similar to monkeys.,B
378,If you want to take a walk then you should wear a hat,people can walk without hats,A hat can keep out the rain.,Walking may make your feet tired.,A
379,If you want to make people laugh then you can hit them,the people hitting others may laugh,the people getting hit will feel pain,some people like hit others,B
380,I use the refrigerator to cook food.,people can use a pen to cook food,the refrigerator is a tool to keep food fresh,people can use refrigerators to save cooked food,B
381,I should play games at my school,some people will play games after school,people can play games in their home,School is the place for learning,C
382,He put the fire in his hand.,The fire is bright and hot,Fire will burn people's hands,Fire is transparent,B
383,you may always find a computer user in a wine bar,wine bars are usually places for drinking,people are likely to find an alcoholic in a wine bar,people are likely to find a computer user in a computer lab,A
384,people usually sleep on the water.,some people can swim in the water,people cannot sleep on fire,people usually sleep on the bed,C
385,If you want to walk on the street then you should have money,Walking can bring good body for us,Walking is free of charge,We may pick up the money when we are walking,B
386,Pushing a bike requires much strength,bikes are made of metal,bikes are light,bikes are cheap,B
387,Ennui would make you become happy,Ennui means that you are not busy,Ennui means that you do nothing and keep wasting time,ennui makes you lose money,B
388,Something you find at a house is a fighter plane,the Fighter plane is important in a war,the Fighter plane is a very big weapon that can't be owned by ordinary people,Running a fighter plane is difficult,B
389,A baby can fix a computer,Computer is very useful,Fixing a computer is difficult,A baby can watch the movie by computer,B
390,Accidents are a good thing,Accidents usually bring pain,You never know which is the first to arrive tomorrow or the Accidents,We may meet an accident anytime,A
391,Blind people can watch the TV,Blind people are unfortunate,Blind people can watch nothing,blind people may be deaf,B
392,A child will be a child forever,Growing up is the law of nature,Being a child can be fun,Child usually is the flower of a country,A
393,Batteries can power a lantern forever,The battery is used to store electricity,The battery has a certain capacity,The battery can be bought in the market,B
394,A drought happens when excessive rain falls,A drought can be found in Africa,A drought is raised by lack of water,People need water when a drought happen,B
395,If you want to have a haircut then you should go to a library,People need a haircut to clean themselves,a Library doesn't have a barber,a Haircut usually can bring beauty,B
396,If you want to read a book then you should get it from the restaurant,A city usually has restaurants and library,We can buy some food from a restaurant,the Restaurant doesn't sell or lend the book,C
397,The effect of attending a classical concert is impetuous,A classical concert usually can make people calm,We can enjoy music at a classical concert,Attending a classical concert need a ticket,A
398,Something that might happen when you diminish your own hunger is taking exercise,Taking exercise is good for health,Taking exercise will make you hungry,Taking exercise is important,B
399,Something you find in the home is actors,Actors are people too,Actors are highly paid,Actors only can be found at a movie,C
400,Going on strike is for having fun,Going on strike is serious and may make people lose jobs,Going on strike is less common,Going on strike exists anywhere,A
401,a person is anxious for undesired things,undesired things are useless to people,Everything has its value,People always desire something,A
402,You are likely to find a potato in a fruit bowl,a Potato isn't a kind of fruit,a potato is a kind of plant,a fruit bowl is too small,A
403,Something you find in downtown is a volcano,a city won't exist near the volcano,volcanos are powerful,volcanos are too high,A
404,His hair is getting longer after a haircut,people should have a haircut if their hair is too long,a haircut includes beautifying the hair through trimming it,people with a short hair can have a haircut,B
405,He took the paper out of the printer and printed it,printers only prints the paper inside them,Printers can print text on paper,some printers need to be connected to computers,A
406,taking a walk is harmful to health in general,sometimes taking a walk will make people tired,Walking is a form of exercise and can let people be stronger,healthy people like walking,B
407,People usually eat moldy bread,some bread tastes terrible,moldy bread is harmful to human,Bread that has lasted for a long time is liable to mildew,B
408,People can't make friends in clubs,We can join clubs that we are interested in,we can meet many nice people in clubs,some people in clubs are not friendly,B
409,He is a thrifty man and he often wastes food,thrifty people should throw away bad food,thrifty people may waste food,Wasting food is luxurious behavior,C
410,He was very energetic because he stayed up late last night,people will be energetic after a nice sleep,Staying up late will make people tired,people will be energetic after resting,B
411,he goes to the cinema to watch animals,There's a big screen in the cinema,A cinema is usually a place to watch movies,There may be many people in the cinema,B
412,students usually play their mobile phones in class time,students are supposed to listen carefully in class time,people can play their mobile phones after class,People can't sleep during class time,A
413,We make cakes with butter and wood,People can make furniture from wood,Cakes are usually sweet,the human can't eat wood,C
414,No one will die in war,wars always cause the injured and the dead,People hate war,War costs a lot of money,A
415,he is healthy and always takes medicine,Some medicines are good for human,healthy people can take medicine,People usually take medicine when they are ill,C
416,Cowardly people love horror movies,horror movies are usually scary,A timid person may enjoy watching love movies,Daring people may love horror movies,A
417,People usually fly in the sky,Monkeys can't fly in the air,birds usually fly in the sky,People don't have wings and flying needs wings,C
418,He washes potatoes in a washing machine,people can wash potatoes with a brush,People can wash sweaters in a washing machine,Washing potatoes is likely to damage the washing machine,C
419,No living thing can live in the sea,a human can't live in the sea,at least fish can survive in the sea,Most oceans are blue,B
420,People like to wear wet clothes,wearing Wet clothes make most people uncomfortable,The clothes are wet just after washing,People don't like to wear dirty clothes,A
421,He is older than his father,He is older than his son,Only after your father is born can you be born,He is younger than his mother,B
422,People can speak loudly in the library,People can borrow books in the library,a library needs to be quiet,People can speak loudly in their home,B
423,People can't go back to where they are after they circle the earth,There are many human beings on earth,earth is much bigger than human,The earth is approximately a ball,C
424,human can live on the sun,Man can't stand the high temperature of the sun,man can live on the earth,human don't want live on the sun,A
425,most cats can swim,most dogs can swim,most cats can catch mice,Cats are usually afraid of water,C
426,You might feel happy when you're stuck in traffic,The traffic jam may be caused by too many cars,Traffic jams occur in every part of the country,Traffic jams can disrupt your schedule,C
427,We will feel relaxed from sitting or standing for long periods of time,"After sitting for a long time, standing up will make us relaxed","After standing for a long time, sitting down will relax us",Sitting or standing for long periods of time can clog our blood flow,C
428,Cats and mice are good friends,The cat eats mice for food,The cat wants to see mice,Rats are not popular,A
429,The sea is sweet,Seawater is full of salt and mineral,There is a lot of seawater on the earth,The sea looks blue from the land,A
430,Fireflies are usually annoying,Fireflies are beautiful when they glow,We can see fireflies at night,Fireflies usually appear in groups,A
431,Flowers have only one color,Many flowers are fragrant,Flowers are beautiful,anthocyanins can be change into many colors,C
432,Hail comes in winter,Winter is dry and there is not enough water vapor to form hail,Hail can do us harm,Hail is less common,A
433,A man with a big head must be clever,Smart people are very capable,Not everyone is clever,A man's intelligence usually depends on his education,C
434,Breathing through the mouse is healthy,The nose is above the mouth,The mouth can be used to eat,The mouth cannot filter out harmful substances,C
435,you can eat sprouted potatoes,Sprouted potatoes can be found in the supermarket,Sprouted potatoes are poisonous,Sprouted potatoes can be used to grow new potatoes,B
436,Waste batteries can be thrown away at will,Waste batteries cause pollution,Waste batteries usually run out of power,A discarded battery is useless,A
437,Vitamin C can be eaten with seafood,Vitamin C is toxic when it's eaten with seafood,Vitamin C is very important to us,Vitamin C can prevent scurvy,A
438,Smoking is allowed in public places,Smoking is harmful to health,Smoking in public places will cause trouble to others,Smoking is not a good thing,B
439,children need four hours of sleep every day,Sleep is good for the child,they don't like sleeping,children are supposed to have adequate sleep,C
440,Ears can smell,nose can smell,Ears are used to hear,The nose is a body organ,B
441,the Football is played by hand,It's tiring to play football,Football is played by foot,It's funny to play basketball,B
442,Dinner should be around one o'clock,Some old people don't eat dinner,Lunch is usually plentiful,Dinner should be around six o'clock,C
443,Westerners like the number thirteen,Westerners are usually religious,Westerners believe that the number thirteen brings bad luck,Westerners like to eat steak,B
444,eating fruits is bad for health,everyone eats fruits,fruits contain a lot of nutrition,fruits are colorful,B
445,children need to drink beer before going to school,children are not allowed to drink beer,beer is much tastier,milk is much more expensive than beer,A
446,I play football every day because I love playing computer games,computer games are nothing to do with football,there are more people loving football than computer games,there are too many kinds of computer games,A
447,"it is rainy, so we can play football outside",raining makes insects fly low,foot ball stores may close in rainy day,a rainy day is not suitable for playing football,C
448,students have to copy homework in class,copying homework is too tiring,it is not the right time to copy homework in class,copying homework does harm to your grades,C
449,Tokyo is in China,Tokyo is the capital of Japan,Japanese are very kind,Japan is much smaller than China,A
450,"In the evening, I will eat breakfast",it will take more time to eat dinner than eat breakfast,the dinner is pretty delicious,we normally eat breakfast in the morning,C
451,"I am tired, so I need to go to work",I need to make money by working hard day and night,working will make people more tired,I have two beds in my bedroom,B
452,birds live in the ocean,there are many animals living in the ocean,many animals can't breathe in water,birds are not able to breathe in water,C
453,there are different kinds of trees in the ocean,most trees will die if they live in the ocean,trees are tall and green,the ocean is the place for fish to live,A
454,I take a television to school every day,it is much more interesting to play computer games by mobile phone,the television is too heavy to take to school,a mobile phone is cheaper than television,B
455,"the bag is too weighty, so I cannot hold it",there is nothing in the light bag,the heavy bag is valuable,it's easier for us to hold lighter things,C
456,I am ill so I need to see an actor,The actor is able to help you when you are ill,an actor can't cure your disease,the actor is good-looking,B
457,I work hard so I fail the exam finally,I will be awarded by my parents if I pass the exam,students will fail the exam if they work hard,students will pass the exam if they work hard,C
458,I finished my work late last night so I am energetic now,people will be energetic if they do less work,people will be tired if they do too much work,people will be tired if they sleep enough,B
459,it is summer so I need to put on more clothes,wearing too many clothes are too tiring,wearing too many clothes in summer is unaffordable,wearing too many clothes makes you feel very hot and uncomfortable,C
460,I get up too early so I will be late for school,getting up late is a bad habit,getting up early is a good habit,you will have enough time to go to school if you get up early,C
461,I am hungry now so I am going to a hospital,there are doctors in the hospital,the restaurant is the place for eating,there is a restaurant in the hospital,B
462,the food tastes awful so I want to eat it again,the food my mother cooks tastes good,I like trying various food,no one wants to eat awful food again,C
463,most grasses are black,grasses will be eaten by cows,grasses help carbon cycle,the color of black can't help grasses living well,C
464,we meet whales in the forest,whales live in the sea and there is no sea in the forest,whales can breathe in air,a whale is a kind of mammal,A
465,he put out the fire with oil,oil is a kind of liquid,oil makes the fire,the color of the oil is yellow,B
466,he often listens to the video,videotapes have limited content,a video include the information of vision mainly,it is not convenient to keep,B
467,there is a sea in the front of the classroom,sea water is salty,a sea is not necessary for a classroom,a sea is too expansive to be inside the classroom,C
468,we take photos of willow catkins in winter,willow catkins are the seed of willow,willow catkins usually only appear in spring,the color of willow catkins is white,B
469,he uses a bamboo basket to fetch water,water is transparent,a bamboo basket is too light,a bamboo basket leaks water,C
470,They feel warmer after the snow,snow will absorb heat when it melts,they wear less when the snow stopped,they have not seen the sun for many days,A
471,He cut metal with scissors,the metal is too hard to cut with scissors,some parts of scissors are made of metal,some scissors' quality is low,A
472,my family fly kites on rainy days,the wind is not strong enough in rainy days,they feel cold on rainy days,kites can hardly fly high in rainy day,C
473,An ant knocked down a tree,ants are animals while trees are plants,an ant is too weak to do that,trees can't crawl like ants,B
474,they search penguins in the Arctic,penguins only live in the Antarctic,the Arctic is warmer than the Antarctic,penguins can not fly,A
475,we hear thunder first in thunderstorm days,the time of lightning is short,light travels much faster than sound,the voice of thunder frighten some people,B
476,the cat caught a tiger,the volume of a cat is smaller than the volume of a tiger,cats can not eat a tiger,tigers are stronger than cats,C
477,some fish are flying in the sky,fish can not live without water,fish have no wings,fish often swim in groups,B
478,he built a snowman on a summer day,the summer is the hottest season in a year,there are few snowy days in the summer,the snowman is white,B
479,most plants provide carbon dioxide for the human,many kinds of plants are green,most plants turn carbon dioxide into oxygen,too much carbon dioxide is harmful to human,B
480,wheat grows in the ocean,there is no soil for wheat to grow up in the ocean,the water in the ocean is too salty,wheat needs sunlight when growing up,A
481,he saw eight colors when the rainbow appears,the rainbow is made up of seven colors,the rainbow only appears for a few seconds,red is the first color in the rainbow,A
482,thirst would make you want to sleep,sleep cannot relieve the feeling of thirst,sleeping too much is not good for your health,sleep relieves the feeling of toil,A
483,People can grow black hair all the time,Hair is very important to us,The hair may be getting thinner and thinner,When people grow old their hair turns white,C
484,African skin is mostly white,Africans have more melanin in their skin,Africa is usually not rich,Many Africans are good at sports,A
485,close relatives can marry,The DNA of close relatives is similar,The children of close relatives may have many defects and are not ethical,Close relatives often share a common ancestor,B
486,Goldfish usually sleep with their eyes closed,Goldfish have no eyelids,The goldfish is beautiful,Goldfish are usually used to decorate houses,A
487,the color of Animal blood includes only red,Spider blood is turquoise,Blood is important to us,Human blood is red,A
488,All animals are active in winter,It can be very cold to come out in winter,Bears hibernate in winter which reduces energy loss,In cold places people wear thick clothes in winter,B
489,All insects have no sense of smell,Many insects can smell with their antennae,Insects generally smell bad,Some insects are edible,A
490,The fish is sweet,Fish cannot live without water,The skin of a fish smells fishy,Fish have scales,B
491,The turtle usually lives very short,Turtle metabolism is slow and its vitality is very strong,The turtle walks slowly,The turtle has a hard shell,A
492,Leaves grow on trees forever,Leaves are important to trees,"When the leaf gets old, it will fall from the tree",Leaves have many colors,B
493,Bones are soft,there are bone marrow in bones,Bones contain a lot of minerals that make them hard,Bones can be turned into ashes,B
494,the Fire has only one color,Fire is an important material of human civilization,fire's color is usually red,burning with Different chemicals will produce different colors,C
495,Silverware is bad for food,Silver can be used for jewelry,Silver is expensive,Silver can kill bacteria,C
496,The seawater is blue,The seawater is salty,Seawater has no color,There is a lot of seawater,B
497,Seawater is drinkable,Seawater is unhealthy,Seawater is drinkable,there are too much salt in seawater,C
498,We usually hear thunder first and then see lightning,Light travels faster than sound,Thunders are generally scary,Lightning sometimes hurts people,A
499,Human tears are generally sweet,People usually shed tears when they are sad,Little children like to cry,Tears contain salts,C
500,Cats generally like to eat vegetables,Cats need taurine from fish,Fish is delicious,Vegetables are nutritious,A
501,The audiences of concerts are usually noisy,Attending a classical concert need a ticket,Concerts are usually elegant,If the audience is noisy the music cannot be heard,C
502,wild geese fly north in winter In the northern hemisphere,the winter in The north of northern hemisphere is cold and not suitable for wild geese,wild Geese migrate in flocks,Wild geese can fly high,A
503,"In nature, the leaves of all plants are oval",The leaves of plants are usually green,Some plants have round leaves,Some of the leaves of plants are edible,B
504,There may be more polluted after the rain,Rain makes the mood worse,Some people don't like rain,Rain can absorb pollution,C
505,The Olympic Games for the disabled,The disabled will participate in the Paralympic Games,The Olympics are for all athletes,The disabled are normally shy,B
506,Cloth bags can hold water,Water can leak out of the cloth bags,Liquid will spill from cloth bags,We can't live without water,A
507,when it snows it isn't cold,Snow should exist at low temperatures,It often snows in the Antarctic,The snow is white,A
508,I am born in Japan so I am Chinese,Japan famous for its cartoon in the world,Japan is located in the east of Asian,people who are born in Japan are Japanese,C
509,humans walk with four legs,cats walk with four legs,humans only have two legs,humans usually walk wearing shoes,B
510,a car is a kind of animal,I go to school by car,most animals are very cute,Cars are lifeless,C
511,sea water is sweet,I love swimming in the sea,Children like to eat sugar,Sea water contains salt instead of sugar,C
512,If you want to go on the internet then you should buy a book,Books can't connect to the Internet,We can get knowledge from books,I love reading books,A
513,Christmas is the thirteenth month of the year,There are only twelve months in a year,Thirteen is not a lucky number,I like Christmas,A
514,we can judge whether one can buy a beer by his height,It is difficult to judge a person's height by age,he is taller than his father,It is difficult to judge a person's age by height,C
515,Peace brings suffering,people can develop steadily without hurting others,War life is everyone's hope,I went through World War,A
516,parents hate their kids,most parents get along well with their kids,most parents get along well with each other,I love my parents,A
517,If you want to sleep you need to go to bathroom,the bathroom is cleaner than the bedroom,the bedroom is bigger than the bathroom,The bathroom is for bathing,C
518,a pig can lay eggs,Birds are not mammals,Pigs are mammals,Pigs are very smart,B
519,I love music so I play basketball every day,Basketball is not an instrument,playing basketball is not interesting,I hate watching basketball games,A
520,Raincoats are used on sunny days,The raincoat is too heavy,There's no need to wear raincoats on sunny days,I often play basketball on sunny days,B
521,nurses teach students,there are many nurses in the hospital,The duty of a nurse is to take care of patients,most nurses are women,B
522,My grandmother is so mean that everyone likes her,One of my teachers is mean to me,Nobody likes mean people,I am very friendly to my classmates,B
523,we develop our friendship by fighting with each other,Fighting will be criticized by teachers,I chat with my classmate in class,Fighting does not enhance our friendship,C
524,an eraser can be used to write on paper,I have two pens,I do not have an eraser,an eraser is an implement used to erase something,C
525,I study at the party,I sing very well,A party is not a place to learn,I hate studying,B
526,The south pole is very hot,The temperature in Antarctica is very low,I love winter,The equatorial temperature is higher than that of the Antarctic,A
527,Ordinary cars have no wheels,wheels are sold in car shops,My truck has six wheels,A car can't move forward without wheels,C
528,Ears are for seeing,I love listening to music,Eyes are for seeing,I am blind,B
529,I talk to Chinese native speakers to improve my English speaking,Chinese are very kind,China is located in the east of Asia,speaking Chinese can not improve your English speaking,C
530,The words are so big that I cannot read them clearly,My handwriting is poor,Larger words are easier to read,My house is very big,B
531,I sleep every day to exercise,I get up early every day,sleeping is not able to build up your body,I can run very fast,B
532,I ran so slowly that I won the championship,I walk so slowly that I am late for school,I run every day to exercise,You cannot win the championship if you run too slowly,C
533,Tragedy makes me laugh,Tragedy usually makes people cry,I love watching comedy and hate watching tragedy,Comedy is more interesting than tragedy,A
534,I like art so I majored in mathematics,my mother dislikes art,if you dislike art you are not supposed to major in art,if you like art you need to major in art,C
535,I am poor so I can buy a Lamborghini,the Lamborghini is expensive,There is a big gap between rich and poor in world,There are many billionaires in China,A
536,snakes are able to fly,Birds are able to fly,Snakes have no wings,My father is good at swimming,B
537,the paper is made from soil,the paper is white while the soil is brown,soil cannot provide wood fiber for paper,it is very complicated to produce the paper by using soil,B
538,we use soap to clean our hair,our hair needs our care,the ingredients of soap are not suitable for cleaning our hair,soap is slippery,B
539,a rabbit can eat a frog,some kinds of frogs are poisonous,rabbits are vegetarian so that they do not eat the frog,a frog is too big for a rabbit to eat,B
540,we often wear a scarf in the summer,a scarf is used in cold weather to keep warm,a scarf is too thick,summer is a season for short skirt,A
541,A student will die if he doesn't pass the exam,It is a great pleasure to get a score of one hundred,Most students dislike examinations,Even if a student does not pass the exam it can only be said that his grades are not good,C
542,it's possible to ski in sahara,The Sahara is hot and there is no snow,The Sahara has a lot of sand,The Sahara is not fit to live,A
543,Smuggling drugs will be commended,Drugs can be synthesized by chemical methods,It is illegal to smuggle drugs,Some drugs can be used as medicine,B
544,the firstborn child is youngest and other children are older,The earlier he is born the older he is,We were born with our eyes closed,Birth means a new birth into the world,A
545,It costs very little to buy gold,Gold is very expensive,Gold can be made into jewelry,The density of gold is very high,A
546,If you want to sew then you should get a gun,Guns can be used to kill people,Guns are not used to sew clothes,guns are hard to get,B
547,Sometimes people put shoes on their hands,hands are more flexible than feet,The average person needs to put on a pair of shoes,Shoes are usually put on feet,C
548,"When you are near-sighted, you can't see things near at hand",Nearsightedness is the inability to see at a long distance,if you get Nearsightedness you need glasses,Nearsightedness is normal in highly educated people,A
549,People can live without food for a long time,Searching for food is the instinct of animals,Without food people can only live for a short time,if we eat healthy food we will live longer,B
550,The clothes will be dirty after being washed,The stain can be removed by washing,Washing clothes usually involves washing powder,You may use a washing machine,A
551,we can just wait for their self-healing after we break our legs,You can't get over a broken leg without treatment,The broken leg is very painful,We all hope to have a pair of healthy legs,A
552,Being sedentary is a good thing,When we use the computer we will usually sit down,We wanted to sit down after standing for a long time,Sitting for long periods may cause hemorrhoids,C
553,a Dog usually bite acquaintances when it sees them,Dogs do not usually bite their masters,Dogs are human's friends,dogs are good at biting,A
554,Ripe apples are hot,Apples grow on trees,Ripe apples have a lot of moisture in them,Ripe apples have a lot of sugar in them instead of capsaicin,C
555,All the birds can fly,Most birds have wings,Birds like to eat worms,An ostrich cannot fly,C
556,People usually don't use pillows when they sleep,People can sleep without pillows,Pillows can make people sleep more comfortably and healthy,Pillows are usually soft,B
557,People usually don't use tableware when they eat,Tableware makes eating more convenient,Tableware is not a necessity for eating,Chopsticks are a kind of tableware,A
558,people eat their lunch in the bathroom,people can eat lunch in restaurants,People usually wash and rinse in the bathroom,the space of the bathroom is usually small,B
559,People usually wash their hair with toothpaste,People can wash their hair after brushing teeth,Toothpaste is usually white,Toothpaste is specially used for brushing teeth,C
560,The moon is brighter than the sun,the moon just reflect the light of the sun,The sun is bigger than the moon,The sun is hotter than the moon,A
561,People usually lie on chairs,Chairs usually have many legs,Most chairs are made of wood,Most chairs are smaller than people and lying on chairs may be dangerous,C
562,I opened the wardrobe to illuminate the room,Wardrobes usually can't shine,Wardrobe can be used to preserve clothes,People usually put a wardrobe in their room,A
563,Men usually use lipstick,Lipsticks are cosmetics and men usually don't wear makeup,Lipstick can make people look better,Lipsticks are usually colorful,A
564,Vegetarian usually like eating meat,Meat is obtained by killing animals,Most vegetarians only eat vegetables and fruits,Meat can provide energy for people,B
565,Dogs can eat chocolate,Chocolate is poisonous for dogs,people can eat chocolate,Dogs can't eat stones,A
566,We can't know the time through the watch,Most watches have a dial,people may know the wrong time by their watch,A watch is a timing tool,C
567,People usually eat the peel of the watermelon,Watermelons are usually spherical,Watermelon peel is usually green,Watermelon peel is so hard that people usually can't bite it,C
568,Everyone can eat peanuts,Peanut is a kind of nut,Human teeth are harder than peanuts,Some people are allergic to peanuts,C
569,People usually can't smell the fragrance of jasmine,Some flowers are fragrant,Jasmine has white flowers,Jasmine usually has a strong fragrance,C
570,Only a few people with cancer die,Older people are more susceptible to cancer,No one wants cancer,Cancer is hard to cure,C
571,People can take drugs at will,the Drug is prohibited in most countries,Some drugs can be used in hospitals,Some drugs excite people,A
572,Hens can give birth to chickens directly,Hens only can lay eggs and eggs may become little chickens,cocks can't give birth to chickens,women can give birth to human babies,A
573,The tortoise usually runs faster than the rabbit,Rabbits usually have powerful legs and tortoises are slow,The rabbit has four legs,The tortoise lives in the water,A
574,Students shouldn't do homework,Doing homework is the basic responsibility of the student,Students should go to bed early,Homework is arranged by teachers,A
575,Most people like snakes,Snakes have no feet but humans do,People can eat snakes,Most snakes bite human and some snakes are poisonous,C
576,I have the same fingerprints as him,Different people have different fingerprints,The fingerprints of the same person are different,the Fingerprint is one of the characteristics of human beings,A
577,only the male can be a Marathoner,Marathoners are generally strong,there are many people participating the marathon,there are also female Marathoners,C
578,People can't find others lying,Lies can sometimes be kind,A lie can sometimes break,a lie can't be a good thing anytime,B
579,A dermatologist can cure heart disease,Heart disease is usually a big threat,Heart disease needs to be treated by a cardiothoracic doctor,if you Have heart disease you should go to a hospital as soon as possible,B
580,We can hurt others at will,When we are hurt by others we should go to the police,We don't want to be hurt,It is illegal to hurt someone at will,C
581,All oranges are sweet,Orange contains sugar,sweet oranges are usually yellow in appearance,some Green oranges are very sour,C
582,People often eat in the toilet,the toilet stinks,Toilets are used for excretion,Sometimes it's hard to find a toilet,B
583,A chair usually has three legs,Chairs are for sitting,A chair with three legs will not stand,Some chairs are very soft,B
584,Many people drink coffee to sleep,Coffee is a drink made from substances extracted from coffee berries,Coffee is so bitter that it keeps people from sleeping,coffee keeps people awake,C
585,We put food in the washing machine,In life the washing machine brings us a lot of conveniences,The washing machine needs electricity to operate,The washing machine is used for washing clothes,C
586,Hot dogs are dogs,Some people like hot dogs very much,A hot dog is a kind of food instead of the animal,Dogs like to eat hot dogs,B
587,We can work eight days a week,A normal week has two days off,There are only seven days in a week,People usually work five days a week,B
588,Poor sleep can lead to high energy levels,Sleep is necessary for the human being,After enough sleep we can be invigorated,People spend a lot of their lives sleeping,B
589,Getting a Ph.D. is an easy task,PhDs are usually talented people,A doctor's degree is the highest degree,It usually takes a lot to get a Ph.D. qualification,C
590,I take a sickle to cut wood,The sickle is generally made of iron,The sickle is for cutting grass,A sickle is generally sharp,B
591,Burning garbage makes the environment better,Protecting the environment is an important thing,Burning garbage produces many substances harmful to the environment,For the environment of the earth we must stop burning garbage,B
592,The sun ceases to shine at night,The sun has ultraviolet rays,The sun provides the earth with a lot of energy,At night the sun is on the other side of the earth,C
593,the Diabetic can eat candy at will,Nowadays diabetes is still a difficult disease to cure,Candy is sweet,Diabetes can be aggravated by eating sweets,C
594,"If people have something urgent to go to a place, they usually walk",walking is too slow for something urgent,people don't have four legs,walking is free of charge,A
595,You can use the air conditioner without electricity,An air conditioner can be used for cooling or heating,The air conditioner can be cheap,Air conditioning requires electricity to operate,C
596,Most people don't need friends,Even best friends will betray you sometimes,Friends can sometimes help you a lot,Man is a social animal and needs friends,C
597,Trees can have no bark,The bark is rough,Some bark can be used as a precious medicine,A tree without its bark will die,C
598,You can find two identical leaves,Leaves provide nutrients to plants through photosynthesis by sunlight,the lines of leaves are totally random and different,Leaves are usually green in spring,B
599,the sun will stay on all day,The sun will set at night,There are twenty-four hours a day,You can do many things in a day,A
600,Most people like mice,Mice like to dig holes,Mice have a long tail,Mice are a kind of pest,C
601,You can drive on the highway without a driving license,driving without a driver's license is against the law,Driving skills are very important in today's society,On the highway the car runs fast so we have to drive carefully,A
602,You can find the statue of liberty in France,The statue of liberty is very big,France is called the capital of romance,The statue of liberty is in America,C
603,People don't need to wear clothes,Clothing plays a lot of decorative roles and we can buy a variety of styles of clothes,In cold weather you may be frozen to death without clothes,Clothes have more and more styles,B
604,Most people don't forget things anytime,Most people's brains can't remember everything forever,Sometimes it's good to forget,Forgetting may mean missing out on something important,A
605,Ugly boys are more likely to find girlfriends,Sometimes a beauty is not charming,Girls generally prefer handsome boys,A girlfriend may be a future wife,B
606,When we get sick we go to school,the school is responsible for the safety of food,We can learn a lot when we go to school,the school usually can't cure patients well,C
607,"When we want to listen to the song, we can use a USB plate",The USB plate is cheap now,The USB plate is used to store information,The USB plate cannot directly play music,C
608,We can observe a star with a microscope,The microscope's focal length is small,Microscopes are too small,The microscope is generally inconvenient,A
