id,FalseSent,ref1,ref2,ref3
2039,She wore slippers to look professional at work.,Slippers are not professional work attire.,Slippers are not professional attire.,Slippers does not used for professional at work.
2040,Shark eat grass.,Grass only grow on land.,"Sharks live in the ocean and eat other things that live in the ocean, not grass.",Sharks are carnivores and eat meat.
2041,He painted a portrait with a lamp,No one paints portraits with a lamp,You can't paint something with a lamp.,LAMP IS AN ELECTRIC OBJECT
2042,He drank a car.,A milkshake can be drunk but a car cannot be drunk.,Cars are not drinks.,CAR IS NOT AN MILKSHAKE TO DRINK
2043,He has a necklace made of pudding.,Pudding can not be made into a necklace.,Necklaces are made with metals and not with pudding.,NECKLACE MAD OF GOLD NOT PUDDING
2044,The man used toothpaste to paint his house.,Toothpaste is not used for painting.,toothpaste is nto used to paint hosues,Toothpaste will wash away and not stay like paint would.
2045,I rode my cat into town,Cats are too small to sit on,Cat is not used to rode into town.,It is nearly impossible to ride a cat.
2046,I wash my clothes in the vending machine,Vending machines cannot wash clothes,Vending machines will not clean clothes.,vending machines don't wash clothes.
2047,a forest is a place full of bricks.,Bricks are manmade and used to build houses and other buildings,"Bricks are man-made things, not normally found in a forest.",Bricks is a thing that does not present in a forest.
2048,I sat down on the molecule.,Molecules are too small to hold a person while sitting.,MOLECULE IS NOT A SITTING PLACE,Molecule is not a place to sit.
2049,She dries her hair using a comb,a comb is to comb the air not to dry them,you can't dry your hair using a comb,NO ONE USED COMB AS DRYER
2050,He drove his sock.,A car can be driven and a sock can be worn.,"Socks are an item of clothing, typically meant to wear on one's foot.",sock is not a vehicle
2051,the car moor is powered by water,water does not serve as fuel,Moors are not found in cars,A car motor can not run on water.
2052,The actor starred in my lava lamp.,People can't fit in a lava lamp.,ACTOR ACT IN THE FILM NOT IN LAVA LAMP,ACTOR STARRED IN FILM ONLY NOT LAMP
2053,He bought a new apple for the car.,Apples do not work on a car.,APPLE IS NOT FIT FOR CAR,"Cars don't need apples, as apples are food."
2054,We are going to sleep to Pittsburgh.,People cannot get anywhere by sleeping.,"One cannot sleep to get to Pittsburgh, you sleep in a bed.",Pittsburgh is a not a bed to sleep on.
2055,The sun laid under the dog and took a short nap.,The sun is too big to lay under the dog.,The sun is not something that lays down or naps,The sun is million of miles a way.
2056,Going to school is for drinking,School is a place to learn,School is a place where we cannot drink.,school does not teach drinking
2057,My brother likes to eat his bed,People cannot eat beds.,bed is not an eating item,Bed is a not a thing to eat.
2058,I rode my van into the house.,The van is too big ti fit into the house.,"Riding a van into the house is not a good idea, you'll destroy the house.",Van is much bigger than the house.
2059,The child fell and hit his family tree on the brick,A family tree is not a physical object and cannot be hit,CHILD IS NOT A ANIMAL TO TREE ON BRICK,Chidren do not carry ther family trees with them
2060,The woman wore camels on her date.,Camels are animals and cannot be worn by a person,CAMELS ARE BIGGER THAN WOMAN,CAMELS IS A BIG ANIMAL
2061,She rode a bike to the top of the stairs.,Bikes cannot be ridden on stairs.,People don't ride bikes up stairs.,Bikes cannot go up stairs
2062,I looked up at the blue horse.,Horses are not blue in color.,HORSE NOT IN BLUE COLOR,BLUE HORSE IS NOT BLUE SKY TO LOOKED UP
2063,A bowl is made of water.,Water is a liquid which cannot be used to make a bowl.,Water will not hold a shape.,A bowl can not be made of water.
2064,You can walk on a lake.,You cannot walk on a lake.,A lake cannot support a person walking on it.,You will fall into the lake if you try to walk on it.
2065,I used my pants to call my mother.,Pants cannot be used to make or receive phone calls.,Pants cannot used to call the mother.,pants does not have calling options
2066,A dog is speaking with my sister,Dogs can`t speak,Dog does not speak.,DOG CAN'T SPEAK TO ANY ONE
2067,People use mugs to drink laptops.,Laptops cannot fit in mugs and you cannot drink a laptop.,LAPTOPS ARE NOT A DRINK,Laptops are machines and are not designed to be ingested.
2068,A camel is a fruit.,A camel is an animal and animals are not fruits.,A camel is an animal,A CAMEL IS NOT A FRUIT IT IS AN ANIMAL
2069,He ate a plastic bag.,A plastic bag does not contain nutrition and is harmful to eat.,Plastic bags are not edible.,You can not eat a plastic bag.
2070,She put on roller-skates to walk in the snow.,Roller-skates aren't used for walking in the snow.,You can not walk in the snow in roller skates.,Roller-skates cannot be used in the snow.
2071,You should drink alcohol in order to stay hydrated.,Drinking alcohol actually dehydrate a persons and you need to drink a lot of water with in order to staty hydrated.,"Alcohol, unlike water, is dehydrating.",Alcohol dehydrates you.
2072,She uses an apple to change the television channel.,"A remote is used to change the channel, an apple is used to eat.",Apple cannot used to change the television channel.,She cannot use an apple to change the television channel.
2073,He read the sock.,A newspaper can be read but a sock cannot be read.,Socks are for wearing and not reading.,you can't read a sock
2074,She is eating the beer.,A beer is in liquid form and eating is something you do with solid food.,Beer cannot be eat.,beer is a liquid item
2075,He puts his clothes into the barn.,Clothing is will get dirty in a barn.,"Clothes don't normally get stored in a barn, usually it's in the house.",barn is a place for horse
2076,sleeping during sex is active during sex,you can't be sleeping and be active during sex,SLEEPING IS FOR REST NOT FOR SEX,You don't sleep while active during sex.
2077,The sun rises in the West,The sun sets in the West,The sun always rises in the East,The sun rises in the East and sets in the West.
2078,Her sister is a wall.,A wall is not a person and cannot be a sister.,Wall is a thing that her sister cannot be.,A wall is a thing and not a human identity.
2079,I played mayonnaise on the TV,Mayonnaise is a condiment,MAYONNAISE IS A DISH,mayonnaise is an eating item
2080,Many dogs take the bus to school.,Dogs don't go to school.,DOGS NEVER GOT SCHOOL,Dogs do not go to school.
2081,MY PET CHICKEN GAVE BIRTH TO A BABY GIRL,"MY PET CHICKEN DID'NT LAY EGGS, YESTERDAY.",Chickens give birth to chicks and not human babies.,Chicken does not give birth to a baby girl.
2082,The fish races across the field,Fish swim in water,A fish can not travel across a field,Fish cannot go on land
2083,She sees better with ther blindfold.,A blindfold covers the eyes so one cannot see anything at all.,A blindfold blocks all eyesight.,BLINDFOLD CAN NOT SEE.
2084,The universe is a dog.,A universe cannot be a dog.,A dog is an animal,The universe is much bigger than a dog.
2085,He ate a house,He cannot eat a house,"A house is too large to eat, usually, unless it is made out of gingerbread.",House is not edible
2086,He cut the radio.,Grass can be cut but a radio should not be cut.,A radio is too hard to cut,Radio cannot cut.
2087,I ate because I was nauseous,"If you feel nauseous, eating more food can worsen the sickness",NO ONE ATE WHEN FEEL NAUSEOUS,Being nauseous would make one not want to eat.
2088,He wrote a postcard to his boss,Postcards are not used in formal communications,It's not suitable to send boss postcards in official manners,POST CARD IS NOT SUITABLE FOR OFFICIAL MANNER
2089,"Sharks drive on the highway, not the interstate.","Sharks can't drive cars, no matter where.",Sharks live in the water and do not drive at all.,Sharks do not drive.
2090,You would plant seeds to get an oil change.,Nobody plants seeds for an oil change.,Planting seeds will not change your oil.,Planting seeds doesn't get you an oil change.
2091,He turn on his shirt.,A cell phone can be turned on but a shirt cannot be turned on.,A shirt cannot be turned on.,Shirt cannot be turn on.
2092,Some sons are older than their biological fathers.,"A son is an offspring of a father, which requires the father to exist first.",Fathers sire their sons.,A son can't be older than his father.
2093,The battery ran out of computers,Batteries only run on energy,Batteries don't use computers.,"Batteries are used, they cannot use things."
2094,Her grandpa died on pluto,People cannot go to Pluto,PLUTO IS NOT A DEATH PLACE,No one has ever been on pluto.
2095,Bobby ate a carpet for lunch.,Nobody eats carpet.,CARPET IS A CLOTH,CARPET IS A CLOTH
2096,"Needles are sharp, so you should put them in your eye.",Needles should never be put near your eye as it can cause irreversible damage.,Poking yourself in the eye with a needle would cause blindness.,Needles are not used to put them in the eye.
2097,She put the plate in the washing machine.,Plates are dishes which are cleaned by dishwashers while washing machines are for clothes.,washing machine washes only clothes,"Washing machines are for clothes, not dishes."
2098,She put a cell phone in the oven to bake.,A turkey can be baked in an oven but a cell phone cannot be baked in the over.,Cell phones break at high heat and do not need baked.,OVEN IS A HOT PLACE
2099,Dogs like to talk at cats.,Dogs cannot talk.,dogs are not able to talk,Dogs don't talk.
2100,Can I borrow your ruler to cut the turkey?,Ruler do not have sharp edges for cutting,Rulers are used to measure and knives are used to cut meat.,Ruler is a thing that cannot used to cut the turkey.
2101,Please attach your pet in the email,You cannot attach your pet in an email,In email only all types of documents can be attached not the living things.,"pet is not virtual entity , its real"
2102,I watched an advertisement on my dog.,A dog cannot be used to watch advertisements.,Dog is not a thing to watch an advertisement.,Advertisements can only be played on broadcasting medium whereas dog is not such a media.
2103,She ate the concrete.,Pizza can be eaten but concrete can not be eaten.,Concrete is not edible.,Concrete is made of sand and water that hardens when it dries.
2104,He went snowboarding in the ocean.,One can't snowboard in the ocean.,SNOWBOARD IS NOT SWIMMING OBJECT,"Snowborarding is a sport done in the mountains with snow, not in the ocean."
2105,She went on a pizza.,She can go on vacation but she cannot go on pizza.,pizza is food,You can't go on a pizza anywhere.
2106,We ate dinner at the bathroom sink.,People don't eat food in the bathroom.,BATHROOM SINK IS NOT A PLACE FOR EAT,"Bathroom sinks are for washing, not eating"
2107,This sentence is false.,That sentence was a paradox because it is neither true nor false.,The sentence isn't unproven.,There are no verifiable facts to judge whether or not the sentence is false.
2108,He will marry her on the moon,The moon is in space,Going to the moon is very expensive and requires training and authorization.,The moon is in outerspace.
2109,He wore his sandwich today,A person cannot wear food as an item of clothing.,HE ONLY WORE COAT NOT SANDWICH,Sandwich is not a thing that cannot wore.
2110,Frank often reads a kitchen,"Usually people read books, a kitchen is a place",A kitchen is a room in a house and therefore can't be read.,Kitchen cannot read by the frank.
2111,Her computer completed work on her.,One can complete work on a computer but a computer cannot complete work on a person.,A computer cannot complete work on its own,"The person completed the work, not the computer."
2112,"She went to the bathroom, because she was out of food.",There is no food in the bathroom.,Bathroom is a place where we cannot get food.,Food is not found in bathrooms. Food is found in kitchens.
2113,She warmed her foil in the microwave.,Soup can be warmed in the microwave but foil should not.,Foil is not a thing to warm in the microwave.,Foil will catch fire in a microwave.
2114,He painted his grass.,A house can be painted but grass should be cut not painted,Grass has its own natural color and does not need to be painted.,Grass is a thing that cannot paint.
2115,France is the most populated country,France has less habitants than China,France does not have enough area to be the most populated country.,FRANCE POPULATION IS SMALL
2116,I will go to Jupiter today.,It is impossible to travel to Jupiter in 1 day.,Getting to Jupiter would be quite hard to get to.,Jupiter is not a place to go.
2117,I went on a trip to Saturn.,It is currently impossible for humans to travel to Saturn.,Saturn is not a place to go for a trip.,its impossible to travel to saturn
2118,A dog is an adult cat,A dog is a different type of animal,Dog cannot be a cat.,Dogs are a different species to cats
2119,Stacy tosses the ball for her flowers.,Nobody tosses a ball for flowers.,flower can not run towards ball,BALL IS USED FOR PLAYING NOT FOR FLOWERS
2120,The man brushed his teeth with a shower sponge.,A shower sponge isn't used for brushing your teeth.,Shower sponge cannot used to brush the teeth.,A shower sponge cannot used to brush his teeth.
2121,Sarah opened the can of tuna with a rubber duck.,A rubber duck cannot penetrate a metal can.,A rubber duck is a toy for children.,RUBBER DUCK NOT A OPENING TOOL
2122,I like to golf in space with my friends,People cannot golf in space.,We can't golf in space.,There is no gavity in space so golf is not possible.
2123,Stan likes to make lakes in the kitchen.,People cannot make lakes in a kitchen.,LAKES IS BIGGER THAN KITCHEN,Food is made in the kitchen and not lakes which are bodies of water.
2124,A book is something you cook.,Cooking is something you do with food and books are not food.,book is not an eating item,Book is made from paper to read while food can be only cooked.
2125,the plane is flying on earth,the plane doesn't fit on the highway,Flying is always in the sky,planes can't fly on land
2126,He wore a tree with his suit.,A tie can be worn with a suit but a tree cannot be wore with a suit.,TREE IS NOT A CLOTH TO WEAR,Trees are not articles of clothing.
2127,You are likely to find a tree on a Koala,A tree cannot grow on a Koala,"We usually find trees upright, but a tree on a koala would have to have fallen over.",KOALA IS USED FOR DRINKING NOT FOUND ON TREE
2128,He put milk in his shoes.,milk does not go into shoes,MILK WILL SPOILED HIS SHOES,You should not put milk in your shoes because it will make them wet and smelly.
2129,the boy was playing with the clouds,the clouds are too high to play with,CLOUDS ARE NOT KITE TO PLAY,CLOUDS ARE NOT A PLAYING THING
2130,"DINOSAURS BREW 6 CUPS OF COFFEE THIS MORNING, ALSO.",DINOSAURS ARE MUCH TO BIG TO DRINK OUT OF COFFEE CUPS.,Dinosaurs have been extinct for thousands of years.,dinosaurs do not drink coffee
2131,A child is playing with a tiger,Tigers are wild animals and generally dangerous to play with,Tiger cannot used as a play thing by a child.,Tigers are dangerous.
2132,If you want to forget German quickly you should practise every day.,You cannot practise forgetting.,"Practising makes you remember, not forget",GERMAN IS A LANGUAGE IT IS NOT A EXCERCISE
2133,She wore a tree to work.,Sandals can be worn to work but a tree can not be worn.,A tree is not a clothing item.,A tree is not a wearable item.
2134,He delivered a baby girl,Only women deliver babies,Men don't birth babies.,HE DOESNOT SUITABLE FOR DELIVERED A BABY GIRL
2135,I put my bowling ball on this morning.,A bowling ball cannot be worn by a person.,BOWLING BALL IS A SPORTS THING,bowling ball is not a clothing accessory
2136,He put milk into his car engine.,Milk does not go into car engines.,The car engine does not have the milk.,MILK IS USED FOR DRINK NOT FOR CAR ENGINE
2137,He was pregnant.,Men have no ovaries and no uterus.,A man cannot be pregnant as he does not have a uterus.,Male person can't get pregnant only females can be.
2138,He brought a giraffe to the party.,"It is common to bring gifts to a party, not animals.",Giraffe cannot be brought.,A giraffe would be hard to contol and fit at a party.
2139,The father put a band-aid on his child's scraped hair.,You cannot scrape your hair and you do not put band-aids on your hair.,You cannot scrape your hair.,Hair cannot be scraped like flesh.
2140,I went to the bakery to see the elephants,There are no elephants at a bakery,Bakery is a place where we can't see the elephants.,"Bakeries have pastries and dough-based food items, not elephants or other animals."
2141,he kept ice cream in the pot to eat,pot is a container used to grow plants,Pot is for cooking.,Pots are too big for serving ice cream.
2142,He drove a ball point pen to his Mom's house.,You cannot drive a ball point pen.,A ball point pen cannot be driven.,A person cannot drive a ball point pen.
2143,Swords are used for massaging people.,Swords are too sharp and dangerous to use on a human body.,Swords have sharp edges and would hurt.,swords are sharp and hurt
2144,She drove her television to work,Televisions are not vehicles,A television is not a means transportation.,You cannot drive a television.
2145,She folded her car neatly,Its impossible to fold a car,Car does not fold.,Cars cannot be folded.
2146,She drank lemonade from a lamp,Lamps do not hold lemonade,Beverages aren't served in lamps.,Lamps are not cups.
2147,The sun comes down in the morning,Usually sun comes down at evening,The sun rises in the morning.,The sun always rises in the morning.
2148,I sat on the wardrobe after lunch,Wardrobes are not usual places to sit,Wardrobe is not a place to sit.,A wardrobe is too tall to sit on
2149,He threw the bull,bull cannot be thrown by person,Bulls are very heavy.,Bulls cannot be picked up and thrown by humans.
2150,he was polishing his watch with shoe wax,shoe wax is used to polish shoes,Watch should not polished with shoe wax.,Shoe wax would damage a phone.
2151,A birthday card is a nice way to acknowledge a person's divorce,A birthday card would be inappropriate to celebrate a divorce,A birthday card is an inappropriate way to address a divorce.,Birthdays cards are for happy events.
2152,"He took his pregnant husband, who was in labor to the hospital.",A man cannot get pregnant.,Husband will not become pregnant.,Men cannot be pregnant.
2153,"My car broke down on the way; therefore, I hired a driver",A driver cannot drive a broke down car,A driver cannot drive a broken car.,Hiring a driver makes no sense when your car is unusable.
2154,The water in kitchen sink is not drained as it is clean,Water will not stand in clean kitchen sinks unless the drain is clogged,The kitchen sink would be fine if this were the case.,A clean sink will not hold water.
2155,I am going to the airport to catch my train.,Aeroplanes are found at airports.,trains are not available at the airport,The airport doesn't have trains
2156,The children built a giant microscope when they were at the beach.,Children don't create microscopes and microscopes are not created at the beach.,Giant microscope can't built in the beach.,A microscope is too complicated for children to build at a beach
2157,She brought a jungle to school.,A jungle cannot be moved to a school.,A jungle cannot be moved.,A jungle cannot be transported.
2158,Watches are used to make call,Watches cannot make calls as cell phones,Watches are used to tell the time.,Watches are not used like telephones.
2159,A rocking chair can fly up and down.,A rocking chair only rocks and cannot fly given that it is a piece of furniture.,Rocking chairs do not have the ability to fly.,A rocking chair can only rock on the ground.
2160,he was sent to a church by the police for the crime he did,a church is meant to pray the god and not for the people who do crime.,A church is not a place where police house criminals.,You don't get sent to church for commiting a crime.
2161,She walked her dog in the bathroom,Bathrooms are not spacious or natural enough to be a walking area,You do not walk your dog inside.,A bathroom is too small to adequately or realistically walk a dog in.
2162,He woke up to find himself dead on a bench in the park,Dead people will never woke up,You cannot wake up if you are dead.,"Once you are dead, you do not wake up."
2163,Sarah put a horse in the fridge to eat later.,A horse cannot fit in a fridge.,Horses are not food and do not fit in refrigerators.,A horse cannot fit inside of a fridge.
2164,He parked a diesel in the garage.,A diesel is a lot larger than a garage.,A diesel is too large to fit in a garage.,Diesel is a fuel for burning not parking.
2165,She came to dance class in a flamingo.,Flamingoes are not clothing.,Flamingo is a bird that can't wear.,She cannot wear a flamingo to dance class because it is an animal.
2166,In the book people live on broccoli.,Broccoli is too small for people to live on.,People don't physically live on top of a head of broccoli.,Broccoli is a vegetable and too small to live on as humans.
2167,Television is a piece of thick absorbent cloth or paper used for drying oneself or wiping things dry,Television is a device used to watch motion pictures,televisions are not soft or moisture safe,A television is for watching
2168,I went for a run this morning in the microwave.,A person can not fit in a microwave.,People cannot fit inside of a microwave.,One cannot be inside of a microwave.
2169,He saw an elephant in the sky,Elephant doesn't have wings to fly while birds have.,Elephants can't fly.,Elephants cannot fly and would only be seen on land.
2170,he put clothes in the refrigerator,clothes are usually meant for wearing and not for cooling,"Clothes are not put in a refrigerator, they are put in a dresser.",Clothing does not belong in the refrigerator.
2171,he bought a lion.,the lion is not a pet .,a lion can't be bought,it is illegal to buy a lion.
2172,He stares at the CPU to watch the movie,A CPU cannot show a movie,"The CPU is hardware, also known as a processor, so it doesn't display visuals on its own.",The CPU doesn't show video.
2173,You often find aardvarks in shoes. .,Aardvarks don't wear shoes.,Aardvarks do not wear shoes.,Aardvarks are animals that do not live in shoes.
2174,I put the paper towel in the dishwasher.,The paper towel is not a dish.,You cannot wash a paper towel.,Paper towels do not belong in dishwashers.
2175,I ate shoes and a blanket for breakfast,people don't eat shoes and blankets as food,Shoes and blankets are not food.,Shoes and blankets aren't consumable objects.
2176,We went tequila tasting at a winery,Wineries can't serve liquor,"Wineries make wine, not tequila.",They don't make tequila at a winery.
2177,He bakes phones in an oven,Baking phones in an oven will break the phone,Phones are not food and aren't baked.,Oven is not a place to bake the phone.
2178,He is running on the cycle in the gym,No one can run on cycle,"You cannot run on the cycle, you can only bike on it.",CYCLE IS NOT A TREADMILL TO RUN
2179,He threw the sun,The sun is too big to be thrown,A sun cannot be picked up or thrown.,The sun is too hot to be thrown.
2180,Cans can contain leopards inside of them.,A leopard is too large to be contained inside of a can.,A leopard cannot fit inside of a can.,Leopards can't fit in a can.
2181,"Mike put bricks on the table, also.",Bricks are to heavy for a plate.,Bricks are not for snacking and don't belong on tables.,Bricks do not belong on tables.
2182,She met her Tiger at a fancy restaurant.,Tigers are not allowed in fancy restaurants.,"People usually don't own tigers, and restaurants never would let one in.",a tiger cannot be found in a fancy restaurant
2183,he was sent to a restaurant for his in disciplinary actions.,a restaurant does not have teachers to teach discipline,"A restaurant is a place eating, for discipline.",A restaurant is not a place to be disciplined.
2184,Pots grow in a garden,Pots are man-made,Pots are not organic and do not grow,"Pots are used to grow plants, but the pot itself cannot grow."
2185,You can bake with a telescope.,A telescope is a scientific instrument and not a baking tool.,A telescope does not have the ability to bake or create heat.,Telescope does not bake.
2186,Horses are good for milking.,Horses cannot be milked.,Horses cannot be milked.,Horses do not produce milk.
2187,Sara put a bird in the refrigerator.,A bird can't breath in a refrigerator.,A living bird does not go inside of a refrigerator.,Birds cannot live inside of a refrigerator.
2188,A mouse has a computer,"A mouse cannot own things, and mouse in a context with computers is a different thing",Mice cannot use computers.,Mice cannot learn to use computers.
2189,He put milk in the freezer,Milk doesn't go in the freezer,Milk should not keep in the freezer.,Milk does not belong in the freezer.
2190,The national newspaper had a story about the local fair,The local fair is a small story and only important to people who live nearby,National papers don't write about small local items.,National news doesn't cover local affairs.
2191,He carried his car when he crossed the street.,A car is too heavy for a man to carry for any distance and to move the car normally one would just drive it to the desired location.,Cars are too large to pick up and carry.,Cars weigh too much to be carried.
2192,The bike rode him to work.,Bikes do not ride people.,Bikes are inanimate objects.,Bikes do not ride people.
2193,He went to vegetable market to buy shoes,Vegetable markets are for vegetables not for shoes,Vegetable markets don't sell shoes,A vegetable market does not sell shoes.
2194,He put a giraffe in his backpack.,A giraffe would not fit in a backpack.,A giraffe is too large for a backpack.,A giraffe is too large to fit into a backpack.
2195,Someone ate my rocks.,People cannot eat rocks like they can eat jellybeans.,People do not eat rocks.,Rocks cannot ate.
2196,Cleaning your monitor can cause your fingers to bleed.,There is no reason cleaning your monitor would cut your fingers in any way.,Cleaning a monitor does cause pain to fingers.,Cleaning a monitor does not use harsh cleaning chemicals.
2197,boys wear a bra to provide support for their breasts.,boys do not have breasts like girls.,Boys breasts do not need bra support.,"Ladies, not men, wear bras."
2198,Bicycles can drive faster than cars.,Cars have motors and bicycles do not.,"Bicycles are human powered, and cannot be faster than cars.",People cannot pedal hard enough to match a car engine.
2199,The tortoise hops along the road.,"Tortoises do not hop to get around, the walk.",Tortoises do not hop.,Tortoise cannot hop
2200,if water gets cold we will make cold noodles,there is no way to make noodles with cold water,"Warm, not cold, water is used for noodles.",Cold water cannot be used to make cold noodles.
2201,The quarterback tossed the lion at the beginning of the play.,A person cannot throw a lion and animals are not used in football.,Lions aren't used in football and are usually too big to be thrown.,Lions are too large to be thrown.
2202,His new shoes are made of peanut butter.,Shoes cannot be made out of peanut butter.,"Peanut butter is meant to be eaten, not worn as shoes.",Shoes are not made of peanut butter.
2203,He drives a horse.,Horses can not be driven.,you ride a horse,A horse does not have a steering wheel to drive.
2204,he rode bike on the sky,bike cannot fly and it is a road transport vehicle,Bikes cannot be ridden in the sky.,A bike is not aerodynamic or powerful enough to ride in the sky.
2205,He threw his house into the trash bin,A house is too big to fit into the trash bin,A house cannot fit into a trash bin.,A house is too big for a trash bin.
2206,The donut ran into the wall,Donuts cannot run,Donuts are inanimate objects and cannot run.,Donuts are not able to run.
2207,He cut the grass with a hammer.,Hammers cannot cut grass.,"Hammers are used to apply blunt force pressure, and cannot cut.",Hammers are not sharp and cannot cut.
2208,She baked a shoe for dinner.,A shoe is not edible.,You cannot eat a shoe.,Shoes are not edible.
2209,People go to the bathroom to earn money,Bathrooms don't pay anything,There is no one to work for in a bathroom.,Bathrooms are not jobs.
2210,He put a tiger into the toaster.,A tiger cannot fit into the toaster.,An elephant is much larger than the toaster.,A tiger does not belong or fit in a toaster.
2211,My dog likes to eat clouds when I cook,Dogs cannot eat clouds,Clouds are not solid.,Clouds cannot be eaten.
2212,Sugar has a sour taste,Sugar always have sweet taste,Sugar is meant to sweeten food.,Sugar has sweet taste.
2213,He took a bath with dry dirt to get clean.,Dirt will make you dirtier.,"putting dirt on yourself would make your more dirty, the opposite of being clean.","Dirt does not get one clean, but dirtier."
2214,He handed the phone to an otter.,Otters don't talk.,Otters don't use phones to communicate.,Otters have no hands.
2215,The ocean was dry,The ocean is made up of water,An ocean is made of water.,The ocean is wet.
2216,The wall bounced off the ball.,A wall is stationary and cannot bounce off of a ball.,Walls don't bounce.,Walls are stationary and don't move.
2217,He likes to eat water.,He cannot eat water because water is not a solid.,"Water is a liquid and cannot be eaten, only drank.",Water does not need to be chewed.
2218,Computers are kept in wet locations.,Moisture is damaging to computers.,Computers don't work when they are wet.,Computers would be damaged by wetness.
2219,he proposed to an elephant with a diamond ring,an elephant is an animal and cannot be proposed,People don't marry elephants.,Men do not marry elephants.
2220,She bought an oven to go to the club to dance and meet people.,People do not normally carry large heavy homeware in the club.,Ovens are to big to take with you.,You cannot transport an oven.
2221,I sleep in my bidet every night,Bidets are not made for sleeping,Bidets cannot be slept in or upon.,"A bidet is used to wash up after using the toilet, not for sleeping."
2222,She went to the doctor to buy some coffee.,doctors do not sell coffee.,Doctors do not sell coffee.,The doctor treats people who are sick and does not sell coffee.
2223,He knew that if he worked more hours he would have more time with family,"if he is working, he cannot spend time with his family",More work hours means time away from family.,More time working means less time away from the family.
2224,the dog had fun on the moon today,it is not possible to put a dog on the moon,a dog can't reach the moon,A dog cannot survive on the moon.
2225,I baked a roast beef for dessert.,You don't eat roast beef for dessert.,Roast beef is a main course dish.,A roast beef is not a dessert food.
2226,He hit the ball with a telephone,You do not play sports with a telephone,This serves no purpose and might damage the phone.,You can't hit a ball with a telephone because it is too small.
2227,The waves were crashing on the street,Waves usually seen at water bodies,The waves do not crash on the street.,WAVES ARE NOT SUITABLE FOR STREET
2228,The bird spoke to us,A bird cannot speak,Birds cannot speak.,Birds cannot talk.
2229,I drank glass this morning.,Coffee is drinkable and a glass is an object that cannot be consumed.,Glass cannot be ingested.,"Glass is a solid, not a liquid"
2230,She put gas in her skateboard to drive to work.,A skateboard does not need gas nor do you drive one.,A skateboard does not have a fuel tank.,Skateboards do not require fuel to operate.
2231,"Christopher Columbus sailed to North America with three ships: the Toyota, the Pontiac, and the Mazda.","The Santa Maria, the Pinta, and the Nina are sailing ships, while the Toyota, the Pontiac, and the Mazda are cars.","Toyotas, Pontiacs, and Mazdas are car names and they did not exist in Columbus's time.","These are names of cars, not Columbus's ships."
2232,A diaper wears babies.,A diaper is for the purpose of filling with a baby's waste and cannot wear a baby.,Diaper can't wear babies.,"Diapers are worn, and do not wear anything."
2233,wind is coming through closed glass window.,wind cannot pass through glass like light.,Wind can't get thru a closed window.,Wind cannot come through closed windows.
2234,Johnny ate a 4-course meal as his snack.,A snack is usually a small food portion.,A 4-course meal is too big to be a snack,"A snack is, by definition, smaller than a meal."
2235,He wears a sofa in the winter,No one wears sofa as clothes,Sofas are too heavy to wear.,Sofas cannot be worn because they are not clothing.
2236,The raccoons flew south for the winter.,Raccoons can't fly.,Raccoons don't have wings.,Raccoons can't fly nor do they migrate south.
2237,A clothing closet is for hanging up your car.,A car is much too big for a closet.,A clothing closet cannot hang up a car.,A car cannot fit in a closet.
2238,He chopped the tree with his finger.,The finger is not sharp and hard enough to cut the tree.,His finger is not an axe.,A finger is not sharp enough to chop a tree.
2239,He got in his bathtub to go to work.,"You get in a bath tub to take a bath, not go to work.",Bathtubs are not transportation.,A bath tub is not a vehicle.
2240,Something you will find on a chess board is a president,There is no president in the chess game,There is no chess piece called a president.,There is no chess piece called the president.
2241,She put the bath in the baby,You can't put anything in a baby,A baby cannot have a bath inside it.,A bath cannot be placed inside of a person.
2242,George Washington came to my child's birthday party yesterday.,"George Washington died many years ago, while many clowns were alive yesterday.",George Washington is dead.,George Washington passed away hundreds of years ago.
2243,She put the donkey on hold.,Donkeys can't make phone calls.,Donkey cannot put on hold.,Donkeys cannot make phone calls.
2244,He drank coffee to go to sleep.,Coffee contains caffeine which is a stimulant.,"Coffee is a stimulant used to increase alertness, so people don't drink it to sleep.",Coffee has a stimulant effect and would not help someone sleep.
2245,Socks is a thing which we wear on neck,Socks is a cloth which we can wear only on legs not in neck,Socks aren't worn on our necks.,We cannot wear socks on neck.
2246,I bake my pie in the hoover,hoover does not bake things,A hoover can not bake,Hoovers don't heat up to cook food.
2247,he put shark in a ranch,shark cannot survive in a ranch,Sharks cannot live on land.,Ranch is not a place to put the shark.
2248,there is a truck on the bed,a bed could not stand the weight of a truck,A truck will not fit on a bed.,A truck is too large to be on a bed.
2249,The woman walked through the keyhole,A human cannot fit through a keyhole,Women do not fit through a keyhole,A keyhole is too small for a woman to walk through.
2250,People eat coal,Coal is not consumed as food,Eating coal would cause illness to a person.,People only eat food.
2251,he bought a lion.,lion is not a pet.,a lion can't be bought,it is illegal to buy a lion.
2252,He threw a building at her.,No one is able to throw a building.,One cannot throw buildings.,A building is too large to throw.
2253,Tom has bought a car which has six rooms,Usually a car cannot have many rooms,Cars do not have rooms.,A car does not have rooms.
2254,the rope jumped him,the rope has no life to jump,A rope cannot do anything on its own.,Ropes are inanimate objects.
