falsesent,id,ref
Walls are never painted,808,walls are a decorative element in a house
Walls are never painted,808,Walls can be painted at anytime with no restrictions.
Shoes are worn on hands,809,Shoes are used only as footwear
Shoes are worn on hands,809,SHOES SUITABLE FOR FEET
Shoes are worn on hands,809,Shoes aren't worn on the hands.
Breeze can destroy a building,810,Breeze is a wind with low speed that cannot cause destruction
Breeze can destroy a building,810,a breeze isn't strong enough to destroy a building
Breeze can destroy a building,810,Buildings are too strong for a breeze to destroy them
I drove my car into my hand luggage.,811,A driven car is lager than a hand luggage.
I drove my car into my hand luggage.,811,A car is to bog to fit in luggage
I drove my car into my hand luggage.,811,Hand luggage is too small to drive a car into and is a transportable container.
He eats from a gasoline bowl,812,Gasoline is toxic for humans and is not edible
He eats from a gasoline bowl,812,Gasoline is toxic
He eats from a gasoline bowl,812,gasoline is a liquid
I kiss sun every mooning.,813,The Sun is the star at the center of the Solar System
I kiss sun every mooning.,813,sun is very hot
I kiss sun every mooning.,813,You can't kiss the sun
You find monitors in a graveyard,814,"A graveyard is a place where the graves of people rest, not monitors"
You find monitors in a graveyard,814,There is no reason for a monitor to be in a graveyard.
You find monitors in a graveyard,814,monitors are in lap only
Birds lay cars.,815,Birds cannot physically lay a man made machine such as a car.
Birds lay cars.,815,BIRDS LAY ONLY EGGS NOT CARS
Birds lay cars.,815,Birds can't lay cars.
Rabbits are animals you can ride on.,816,Rabbits are too small for you to ride on.
Rabbits are animals you can ride on.,816,Rabbits are to small to ride
Rabbits are animals you can ride on.,816,Rabbits are too small for a human being to ride on.
he rode his unicorn to the town square,817,unicorns are mythological creatures and therefore no one is able to really ride one anywhere
he rode his unicorn to the town square,817,A unicorn is a fictional creature
he rode his unicorn to the town square,817,Unicorns don't exist
Boiling water is cold.,818,If water is boiling it must be hot.
Boiling water is cold.,818,Ice water is cold
Boiling water is cold.,818,Boiling water will burn you.
He like to eat wallet,819,Wallet is not eatable
He like to eat wallet,819,Wallets are not eaten
He like to eat wallet,819,Wallets are not food.
Sarah has got three hundred mates in her apartment,820,Sarah would not be able to live in her apartment with so many people
Sarah has got three hundred mates in her apartment,820,No apartment is large enough for three hundred people.
Sarah has got three hundred mates in her apartment,820,Apartments don't hold hundreds of people.
She poured trees into a cup.,821,Trees are not liquid or are small enough for cups.
She poured trees into a cup.,821,Trees are too large to fit into a cup and cannot be poured as they are not a liquid.
She poured trees into a cup.,821,Trees are too big to fit in cups
The hangar entered the airplane,822,Hangar is a place to let airplane and is not an object to enter into airplane
The hangar entered the airplane,822,The hanger cannot move.
The hangar entered the airplane,822,the airplane only entered the hanger
The woman cooked a delicious dress.,823,People do not cook clothing.
The woman cooked a delicious dress.,823,dress is a wearable thing
The woman cooked a delicious dress.,823,People don't cook clothes
Swimming is something anyone can do.,824,Not everyone knows how to swim.
Swimming is something anyone can do.,824,Some people cannot swim
Swimming is something anyone can do.,824,Swimming is a skill.  Not everyone can do it.
Sound is sense for your hair.,825,YOu can not hear sound through your hair.
Sound is sense for your hair.,825,Your hair has no senses
Sound is sense for your hair.,825,Sound is heard or sensed by ears.
She kisses her snakes every night,826,Snakes are not something a mother would kiss.
She kisses her snakes every night,826,People don't kiss snakes.
She kisses her snakes every night,826,If she doesn't have any snakes she can't kiss them.
Women are always the parents of someone.,827,Not all women actually have any children.
Women are always the parents of someone.,827,Some women never have children.
Women are always the parents of someone.,827,Some women do not have children
The mechanic sank  my car while it was in the shop.,828,The mechanic does not sink cars.
The mechanic sank  my car while it was in the shop.,828,"Mechanics don't work underwater, they fix cars above ground."
The mechanic sank  my car while it was in the shop.,828,A mechanic is a person who fixes cars.  He would not be somewhere where he could sink a car.
"When there is a serious accident, you call 922",829,911 is the correct number for emergency services
"When there is a serious accident, you call 922",829,922 is not an emergency number
"When there is a serious accident, you call 922",829,922 isn't an emergency number
She gets scared by watching happy movies.,830,You do not get scared by watching happy movies you get happy.
She gets scared by watching happy movies.,830,Happy movies make you feel the opposite scared.
She gets scared by watching happy movies.,830,when get scared doesn't happy
He found a missing fridge inside his wardrobe.,831,A fridge doesn't fit inside a wardrobe.
He found a missing fridge inside his wardrobe.,831,A fridge can't fit in a wardrobe
He found a missing fridge inside his wardrobe.,831,You could never put a fridge in your clothing or in a cabinet.
He went to the restaurant to run with his dog.,832,You can't practice running inside restaurants.
He went to the restaurant to run with his dog.,832,Running is not allowed in restaurants
He went to the restaurant to run with his dog.,832,The restaurant personnel would not allow a dog inside.
The Moon tells the time in the day time.,833,The moon only appears at nighttime.
The Moon tells the time in the day time.,833,THE MOONS DOES NOT HAVE WATCH TO TELL THE TIME
The Moon tells the time in the day time.,833,The moon is not seen during dsy.
I am running in a plastic chair,834,You cannot run in a plastic chair. you can only sit or stand on it.
I am running in a plastic chair,834,there is not enough room on a chair to run
I am running in a plastic chair,834,A plastic chair does not help you to run.
The paint on the wall is floating.,835,Paint can not float unless your in space.
The paint on the wall is floating.,835,Gravity causes the paint to fall.
The paint on the wall is floating.,835,Paint cannot float on a wall
The dog flew inside the house,836,a dog cannot fly
The dog flew inside the house,836,dog doesn't have feather
The dog flew inside the house,836,A dog does not have wings nor the ability to fly
food eat people because of hunger,837,food don't eat which is always eaten
food eat people because of hunger,837,Food doesn't live so it can't eat anything.
food eat people because of hunger,837,Food is not alive so it can't eat anything
During summer people set bonfire at home,838,usually bonfire is useful only at winter
During summer people set bonfire at home,838,Summer is the hottest season of the year.
During summer people set bonfire at home,838,Bonfires can make people feel hotter in summer
Pablo goes to the dance to meet a bird,839,You do not meet birds at dances
Pablo goes to the dance to meet a bird,839,People do not go to dances to meet animals.
Pablo goes to the dance to meet a bird,839,Can not take a bird to a dance
Skyscrapers are pink.,840,Skyscrapers can be many different colours.
Skyscrapers are pink.,840,Pink is not a building color
Skyscrapers are pink.,840,Not all skyscrapers are pink.
Men are called females,841,females are opposite gender of men
Men are called females,841,Men wouldn't be men if they were females.
Men are called females,841,Men are called males
A keyboard has got only a key,842,"As it name suggests, a keyboard must have distinct keys for several uses its one"
A keyboard has got only a key,842,A keyboard has multiple keys
A keyboard has got only a key,842,A keyboard wouldn't be useful with only one key.
Santa clause is where the easter bunny appears.,843,Santa clause is only during christmas time.
Santa clause is where the easter bunny appears.,843,Santa Claus comes at Christmas
Santa clause is where the easter bunny appears.,843,santa is a human
she won gold medal for finishing last in marathon,844,people finish last in marathon wont earn any medals
she won gold medal for finishing last in marathon,844,You do not win for finishing last.
she won gold medal for finishing last in marathon,844,Medals are not given to losers.
He used his torch to think possible accidents,845,torch is used to see things in dark
He used his torch to think possible accidents,845,Torch can't be used to think possible.
He used his torch to think possible accidents,845,TORCH DOESN'T HAVE KNOWLEDGE
A sandwich is put in a toolbox,846,"A sandwich is food so if you put it in a toolbox, it will smell bad"
A sandwich is put in a toolbox,846,Tools belong in a toolbox
A sandwich is put in a toolbox,846,It is not a good idea to put food in a toolbox along with tools.
People watched fish walking in the zoo,847,Fish does not have legs and cannot walk
People watched fish walking in the zoo,847,Fish can not walk
People watched fish walking in the zoo,847,Fish are unable to walk.
He ate a whole ostrich.,848,"Nobody could eat a whole bird, and no one eats ostrich."
He ate a whole ostrich.,848,Ostrich is too big to eat
He ate a whole ostrich.,848,an ostrich is too big to be eaten whole
pour kerosene in the tea cup,849,kerosene is used for burning
pour kerosene in the tea cup,849,Kerosene is poisonous to humans.
pour kerosene in the tea cup,849,Drinking kerosene would kill a person.
"Monkeys are smoking,",850,Monkeys do not smoke.
"Monkeys are smoking,",850,Monkeys don't smoke
"Monkeys are smoking,",850,Monkeys cannot purchase cigarettes.
He put the ice cream away in the cabinet.,851,Ice cream needs to be kept frozen.
He put the ice cream away in the cabinet.,851,Ice cream has to be in the freezer
He put the ice cream away in the cabinet.,851,Cabinets are warm and the ice cream will melt
I bought Stocks at the Farmers market.,852,Stocks are not sold at the farmers market.
I bought Stocks at the Farmers market.,852,Stocks are not sold at the farmers market.
I bought Stocks at the Farmers market.,852,A farmers market doesn't sell Stocks
You need an oven to pay bills,853,An oven is not used for paying bills
You need an oven to pay bills,853,An oven is used for baking or warming up food.
You need an oven to pay bills,853,Ovens are not currency.
President is a common job for people to have.,854,There are not that many Presidents out there.
President is a common job for people to have.,854,There are very few presidents at any one time.
President is a common job for people to have.,854,there is only one president at any given time
she went to church for her delivery,855,usually people go to church for prayers
she went to church for her delivery,855,A church doesn't have the medical equipment for a delivery
she went to church for her delivery,855,You go to a church to pray
Julie's birthday in on the 30th of February.,856,There are 29 days in February in a leap year and 28 days every other year.
Julie's birthday in on the 30th of February.,856,there will be only 28 days in february
Julie's birthday in on the 30th of February.,856,February doesn't have 30 days.
Computers run on treadmills.,857,Computers are not capable of exercise.
Computers run on treadmills.,857,People run on treadmills
Computers run on treadmills.,857,Treadmills can't run computers.
All doors open by pulling them down and pushing them into the ground.,858,Doors are opened a lot of different ways
All doors open by pulling them down and pushing them into the ground.,858,Pulling and pushing doors down into the ground make them get stuck.
All doors open by pulling them down and pushing them into the ground.,858,All doors open by pulling or pushing them vertically or horizontally
Reading tabloids helps you become smarter,859,tabloids focus on celebrity gossip which does not contribute to one's intellect
Reading tabloids helps you become smarter,859,Tabloids contain lots of dumb articles
Reading tabloids helps you become smarter,859,Tabloids are bias stories made as a drama cash-grab.
he put a car into a fridge,860,a cat does not belong in a fridge
he put a car into a fridge,860,A car is too big to fit into a fridge
he put a car into a fridge,860,A car is too big to fit a fridge.
Situation: I am sitting on a stove,861,A stove is used for cooking and generally very hot
Situation: I am sitting on a stove,861,A stove can cause harm if touched while on.
Situation: I am sitting on a stove,861,Stoves are not meant to be sat on
Yesterday my table spoke to me.,862,Table is inanimate and can't speak.
Yesterday my table spoke to me.,862,Tables cannot speak
Yesterday my table spoke to me.,862,tables are furniture
There was a truck moving at sea.,863,Trucks do not move at sea.
There was a truck moving at sea.,863,truck moving on road
There was a truck moving at sea.,863,A truck can not move over the sea
You eat with your eyes,864,"Eyes fulfill the purpose of view, they are not used for eating"
You eat with your eyes,864,Eyes cannot chew food
You eat with your eyes,864,"Eyes are for seeing with, not eating with"
Crying is an easy form of exercise.,865,Crying is not a form of exercise.
Crying is an easy form of exercise.,865,Crying is not exercise
Crying is an easy form of exercise.,865,Crying is not exercise.
An oak tree has gills to breathe under water.,866,Oak trees don't have gills.
An oak tree has gills to breathe under water.,866,Oak trees don't have gills
An oak tree has gills to breathe under water.,866,An oak tree grows upon land.
He arrived at the restaurant to catch the flight,867,Restaurant is a place to eat food and is not a place to catch flight
He arrived at the restaurant to catch the flight,867,"We go to a restaurant to eat, not to catch a flight."
He arrived at the restaurant to catch the flight,867,You go to a restaurant to eat
He was immediately taken to the coffee shop by an ambulance.,868,Ambulances don't take people to coffee shops.
He was immediately taken to the coffee shop by an ambulance.,868,"The coffee shop does not have the staff, equipment, etc to help someone in an ambulance"
He was immediately taken to the coffee shop by an ambulance.,868,An ambulance should be taking him to the hospital.
Blue is the color of the sun.,869,The sun is not blue because it is yellow and orange.
Blue is the color of the sun.,869,Because sun has no blue color.
Blue is the color of the sun.,869,"The sun is not blue, it is yellow"
put stones inside the washing machine,870,washing machine is used to wash clothes
put stones inside the washing machine,870,Stones can break a washing machine
put stones inside the washing machine,870,You can't wash stones
The ostrich flew to the moon and back,871,Ostriches cannot fly
The ostrich flew to the moon and back,871,The ostrich cannot fly.
The ostrich flew to the moon and back,871,The ostrich raced across the road and into the field
Rabbits often live in flats,872,Rabbits ecosystem is burrows
Rabbits often live in flats,872,Rabbits live in the wild
Rabbits often live in flats,872,Rabbits live outside or in a hutch.
Frank read every book in one year.,873,There are too many books to read in one year.
Frank read every book in one year.,873,There are too many books in the world to read within a year.
Frank read every book in one year.,873,It would take much longer than a year to read every book.
An ant ate my pizza.,874,One ant cannot eat a whole pizza.
An ant ate my pizza.,874,One ant cannot eat a whole pizza.
An ant ate my pizza.,874,One ant cannot eat an entire pizza.
Children went to the zoo to eat animals,875,zoo is a place where animals live and people visit zoo to see. No one eats animals at zoo
Children went to the zoo to eat animals,875,Animals at the zoo are not available to eat.
Children went to the zoo to eat animals,875,A zoo does not let children eat animals
The best way to make roast chicken is with older bananas.,876,"Bananas do not have a way to be incorporated into roast chicken,"
The best way to make roast chicken is with older bananas.,876,Bananas are not in roast chicken.
The best way to make roast chicken is with older bananas.,876,Older bananas are not used to roast chicken
Kittys are fake,877,Kittys are real and small
Kittys are fake,877,Kittys are real and commonly seen.
Kittys are fake,877,Kittys are cats and cats are a real animals.
We need cars to be alive,878,Cars are not essential for our existence and we can live without them
We need cars to be alive,878,Cars don't keep us alive.
We need cars to be alive,878,Cars are inanimate and not needed for life.
The garbage bin ate the bear,879,Garbage is not alive and does not eat
The garbage bin ate the bear,879,Bins aren't alive
The garbage bin ate the bear,879,The garbage bin is not a creature so it does not need to eat anything.
Swimming pools are filled with acid,880,Swimming pools are always filled with water
Swimming pools are filled with acid,880,you can't swim in acid
Swimming pools are filled with acid,880,Acid is corrosive and would kill the people who would swim in it.
MY FRIEND AKCHAYA EATS  CHALKS  DAILY.,881,NO ONE  CAN EAT CHALKS.
MY FRIEND AKCHAYA EATS  CHALKS  DAILY.,881,People don't normally eat chalk
MY FRIEND AKCHAYA EATS  CHALKS  DAILY.,881,Chalk is not edible.
They ate a cigarette in the afternoon,882,Cigarettes are not edible
They ate a cigarette in the afternoon,882,Cigarettes are not edible.
They ate a cigarette in the afternoon,882,Cigarettes are not good to eat.
Your new water smells bad,883,Water does not smell
Your new water smells bad,883,water is odorless
Your new water smells bad,883,People don't wear water as a scent.
my brother went to mobile phone,884,mobile phone is not a living place
my brother went to mobile phone,884,A mobile phone is not a place.
my brother went to mobile phone,884,mobile phone is not a place to go
money can grow in a garden,885,Money used to buy things and it is earned by doing work
money can grow in a garden,885,Money does not grow from anything
money can grow in a garden,885,"Money does not grow in a garden, unfortunately!"
I just talk with my mother by my Feet,886,feet can not speak anything
I just talk with my mother by my Feet,886,Feet cannot speak.
I just talk with my mother by my Feet,886,Feet can't talk
he typed on his computer using a piano,887,pianos play musical notes and aren't used to type in a computer
he typed on his computer using a piano,887,A piano is too large to place on a computer.
he typed on his computer using a piano,887,A piano does not have letter keys.
he did hear music in his cooling glass,888,"cooling glass can not play the song, it's not a electronic thing to play music"
he did hear music in his cooling glass,888,Glass does not produce music.
he did hear music in his cooling glass,888,Any sound that might be made by a cooling glass is not music.
My car is a sphere,889,"Planets are spheres, but my car does not have a sphere as volume"
My car is a sphere,889,Cars are not spherical
My car is a sphere,889,Cars are not shaped like a sphere.
HE WAS TO SEND TO  A  PARK AFTER HE MET AN ACCIDENT.,890,NEVER DOCTORS WERE IN A PARK.
HE WAS TO SEND TO  A  PARK AFTER HE MET AN ACCIDENT.,890,Care is not provided at a park.
HE WAS TO SEND TO  A  PARK AFTER HE MET AN ACCIDENT.,890,A person who is hurt does not go to the park for medical help.
There are 50 cities in the USA.,891,"Since there are 50 states in the USA, and states are made up of many cities, there are much more than 50 cities in the USA."
There are 50 cities in the USA.,891,There are many more than 50 cities in the US.
There are 50 cities in the USA.,891,there are thousands of cities in the USA
I will use the Freezer to heat up my food.,892,A Freezer supplies cold air and no heat.
I will use the Freezer to heat up my food.,892,Freezers are cold inside.
I will use the Freezer to heat up my food.,892,Freezer is used to cool down the food and not to heat up the food.
She went to buy cosmetics in the prayer hall.,893,Prayer hall is not a right place to buy cosmetics or anything else.
She went to buy cosmetics in the prayer hall.,893,The prayer hall is not for shopping at.
She went to buy cosmetics in the prayer hall.,893,Cosmetics are not sold at prayer halls.
She opened the door with her toothbrush,894,"Toothbrushes are for brushing teeth, not for opening locks"
She opened the door with her toothbrush,894,Toothbrushes don't open doors.
She opened the door with her toothbrush,894,"Toothbrushes are for cleaning your teeth, not opening doors."
children can play on the highway,895,Highways are dangerous
children can play on the highway,895,playing on the highway is illegal
children can play on the highway,895,Highways are very dangerous and not meant for anyone who is not in a car.
you can find a lion in the ocean,896,a lion cannot survive in the ocean
you can find a lion in the ocean,896,Lions live on the savannah.
you can find a lion in the ocean,896,Ocean is a place where we cannot find the lion.
my brother eat plastic,897,plastic is not a food item
my brother eat plastic,897,platic not eatable
my brother eat plastic,897,Plastic is not edible like food.
He dipped his chips in sand.,898,Sand is not edible.
He dipped his chips in sand.,898,Chips aren't dipped in sand to eat.
He dipped his chips in sand.,898,sand is not an eatable item
He dried his cloth in moonlight,899,Moonlight is generally cold
He dried his cloth in moonlight,899,A cloth can only be dried in the sun
He dried his cloth in moonlight,899,Moonlight does not produce heat.
People usually donate rocks at Christmas,900,Rocks aren't somethin people usually want
People usually donate rocks at Christmas,900,Rocks are not Christmas presents.
People usually donate rocks at Christmas,900,Almost anyone will not be happy to receive a rock as a Christmas gift
She went swimming in the corn.,901,People cannot swim inside corn.
She went swimming in the corn.,901,lake only has water for swim
She went swimming in the corn.,901,It is only possible to swim in water.
they saw the film in cooker,902,cooker is a kitchen item to cook food
they saw the film in cooker,902,a cooker doesn't have a screen to play anything
they saw the film in cooker,902,cooker for cooking something
You should get a car to check for colon cancer.,903,Car's don't give you a medical report of your colon.
You should get a car to check for colon cancer.,903,"Cars are used to get a person from one place to another, not check for colon cancer."
You should get a car to check for colon cancer.,903,A car is not a medical instrument.
my brother buy sky today,904,sky is not a property
my brother buy sky today,904,You cannot own the sky.
my brother buy sky today,904,Sky cannot be bought
Squids are land animals,905,Squids are not land animals and can only on the ocean
Squids are land animals,905,Squids live in the ocean.
Squids are land animals,905,Squids live in ocean
the children played in the fridge,906,fridge is not a place to play in
the children played in the fridge,906,It's too cold in a fridge to spend time there.
the children played in the fridge,906,A fridge can't fit children playing inside of it
A cafeteria takes care of sick people.,907,A cafeteria only feeds people.
A cafeteria takes care of sick people.,907,Cafeteria's serve food.
A cafeteria takes care of sick people.,907,A cafeteria doesn't have doctors to cure sickness.
Guns generate bullets through explosive forces.,908,Bullets are made and placed into guns.
Guns generate bullets through explosive forces.,908,Guns don't create bullets.
Guns generate bullets through explosive forces.,908,bullets are loaded into guns
Earth also orbits the Moon.,909,From Moon's perspective Earth stands still.
Earth also orbits the Moon.,909,"The Earth orbits the sun, not the Moon"
Earth also orbits the Moon.,909,The Earth orbits the Sun.
She fed her chair early this morning.,910,A cat is a living thing and a chair is not.
She fed her chair early this morning.,910,A chair doesn't eat
She fed her chair early this morning.,910,chair doesn't get
I love eating any pastry made with sand.,911,Sand cannot be eaten.
I love eating any pastry made with sand.,911,pastry is food as such cant be made of sand.
I love eating any pastry made with sand.,911,"Sand is dirt from the beach, not a food."
I  CAN COUNT  STARS.,912,STARS  ARE UNCOUNTABLE.
I  CAN COUNT  STARS.,912,there are far too many stars for someone to count
I  CAN COUNT  STARS.,912,There are too many stars to count.
He climbed up a mountain using his snowboard,913,A snowboard cannot climb upwards
He climbed up a mountain using his snowboard,913,A snowboard is used to descend a snowy mountain.
He climbed up a mountain using his snowboard,913,you cannot climb anything using a snowboard
The doctor removed my brain.,914,You cannot live without a brain.
The doctor removed my brain.,914,"If your brain was removed, you would be dead."
The doctor removed my brain.,914,One can't live without a brain.
he ordered pizza through the pencil,915,Pencil is an object to write things on paper
he ordered pizza through the pencil,915,Pencils are not phones
he ordered pizza through the pencil,915,You cannot contact anyone through a pencil.
he bought a book to eat,916,book is not an eatable thing
he bought a book to eat,916,Books are inedible.
he bought a book to eat,916,Books are not edible.
A pentagon has six sides.,917,It's a hexagon that has six sides.
A pentagon has six sides.,917,PNETAGAN MEANS FIVE
A pentagon has six sides.,917,Penta means five.
the car walks on the sidewalk and the pedestrian in the middle of the road,918,the sidewalk is made for pedestrians and the road for cars
the car walks on the sidewalk and the pedestrian in the middle of the road,918,the pedestrian walks on the sidewalk and the car on the road
the car walks on the sidewalk and the pedestrian in the middle of the road,918,Cars don't walk
A box of snakes is a perfect gift for children.,919,Snakes are dangerous animals and they bite.
A box of snakes is a perfect gift for children.,919,Snakes are dangerous
A box of snakes is a perfect gift for children.,919,Snakes are dangerous and should not be around children.
She drank strawberries out of a mug,920,Strawberries are not a liquid
She drank strawberries out of a mug,920,"Strawberries are not a drink, therefore you cannot drink them."
She drank strawberries out of a mug,920,"You can't drink something solid, like strawberries."
He went to a marriage in pen,921,Pen is not a vehicle to travel to places
He went to a marriage in pen,921,A pen cannot be used as transportation.
He went to a marriage in pen,921,pen is not an automobile
Storks are a type of mammals,922,"Storks are birds, not mammals"
Storks are a type of mammals,922,Storks are birds
Storks are a type of mammals,922,storks have feathers
I fed my teddy bear.,923,Teddy bears can't and don't need to eat food.
I fed my teddy bear.,923,You don't feed teddy bears.
I fed my teddy bear.,923,Teddy bears are stuffed animals so they don't eat
You can find an organ in the briefcase.,924,Organs can't fit in briefcases.
You can find an organ in the briefcase.,924,An organ is too big to fix into a briefcase
You can find an organ in the briefcase.,924,An organ is found only in a body.
The family ate a table at the party.,925,People do not eat tables.
The family ate a table at the party.,925,Tables are not edible.
The family ate a table at the party.,925,Tables aren't edible.
He likes to dance with a dodo bird.,926,Dodo birds cannot dance and are extinct.
He likes to dance with a dodo bird.,926,"You can dance like a dodo bird, not with one."
He likes to dance with a dodo bird.,926,Dodo birds are extinct and they are birds.
Walking in rain make his dress wet by sweat,927,More than sweat water makes you wet while raining
Walking in rain make his dress wet by sweat,927,"Rain doesn't make one sweat, it makes one wet."
Walking in rain make his dress wet by sweat,927,People usually sweat when they walk under the sun
Steam is cooled water vapor.,928,Water vaporizes at a hotter temperature.
Steam is cooled water vapor.,928,Steam arises from hot water and not cold or cooled one.
Steam is cooled water vapor.,928,Cooling water vapor will return it to its liquid state.
Dolphins from the sea are red,929,Dolphins are sea animals with a blue grey colour
Dolphins from the sea are red,929,Dolphins do not come red in color.
Dolphins from the sea are red,929,there are no red dolphins
He ate nails for dessert.,930,Nails are not a food.
He ate nails for dessert.,930,Nails are not food to be eaten.
He ate nails for dessert.,930,Nails aren't edible
I turned on the pillow,931,the pillow doesn't have an on button
I turned on the pillow,931,Pillows are not electrical powered.
I turned on the pillow,931,Pillows are not turned on.
He filled his car with jello.,932,Jello would not make the car go.
He filled his car with jello.,932,jello is a food item
He filled his car with jello.,932,Jello would gum up the engine.
Oatmeal always eats me in the morning.,933,Oatmeal is not a person and cannot eat.
Oatmeal always eats me in the morning.,933,Oatmeal can't eat.
Oatmeal always eats me in the morning.,933,Oatmeal doesn't have a mouth to eat a person.
Anime is a live-action,934,Anime cannot be live-action because it's anime is not live.
Anime is a live-action,934,anime is drawn
Anime is a live-action,934,Anime is a cartoon
HE CHATS WITH HIS FRIEND BY  USING REMOTE.,935,REMOTE IS  DEVICE USED FOR TELEVISIONS.
HE CHATS WITH HIS FRIEND BY  USING REMOTE.,935,Remotes do not have communication abilities.
HE CHATS WITH HIS FRIEND BY  USING REMOTE.,935,Remotes are not phones
Zoos contain many once extinct animals.,936,Extinct animals cannot exist again.
Zoos contain many once extinct animals.,936,Extinct animals are not alive and therefore cannot be shown in zoos.
Zoos contain many once extinct animals.,936,extinct animals no longer exist
she ran in the race and won a sister,937,you cannot win a sister
she ran in the race and won a sister,937,sister is not a prize
she ran in the race and won a sister,937,"Sisters are born to the family, not won."
Daniela is a beautiful danish,938,"Daniela is a woman, a person. A danish is a pastry"
Daniela is a beautiful danish,938,Daniela is the name of a person.
Daniela is a beautiful danish,938,Danish is a language
People fight each other when pacifist.,939,Pacifists avoid violent fights.
People fight each other when pacifist.,939,Pacifists are against fighting.
People fight each other when pacifist.,939,Pacifists are peaceful
i went to get the patrol at hotel,940,no any hotels sell patrol for us
i went to get the patrol at hotel,940,a patrol is not located at hotels
i went to get the patrol at hotel,940,A hotel does not have the patrol.
He fell asleep on the TV.,941,"He can fall asleep to the TV, not on the TV."
He fell asleep on the TV.,941,TV is not a sleeping platform
He fell asleep on the TV.,941,A person is too big to sleep on a tv
He won the rice medal in a race,942,rice is not a metal to make medal
He won the rice medal in a race,942,Medals are made of metals or PVC and can never be made from rice.
He won the rice medal in a race,942,Rice is not used to make medals.
She hung a car on the wall.,943,A car is far too large and heavy to hang on a wall.
She hung a car on the wall.,943,A car is too big to hang on a wall.
She hung a car on the wall.,943,A car is to heavy and large to be hung on a wall.
He ate a rock for lunch.,944,Rocks are not edible
He ate a rock for lunch.,944,He would choke on the rock.
He ate a rock for lunch.,944,People do not eat rocks.
The cop arrested the fish.,945,Fish are not bound by the law.
The cop arrested the fish.,945,You can't arrest a fish.
The cop arrested the fish.,945,A cop will catch or eat a fish but not arrest it.
The cat jumped onto a skyscraper,946,Cats cannot jump that high
The cat jumped onto a skyscraper,946,Cats are too small to jump onto a skyscraper.
The cat jumped onto a skyscraper,946,Skyscrapers are too high for a cat to jump on.
I went to the vegetable market to deposit my money.,947,No one deposit their's money in the Vegetable market
I went to the vegetable market to deposit my money.,947,banks are where you deposit money
I went to the vegetable market to deposit my money.,947,A vegetable market doesn't have an ATM
I made a cup of dirt,948,people do not drink dirt
I made a cup of dirt,948,Dirt cannot be made
I made a cup of dirt,948,Dirt can't be drunk.
Hand is part of a tree.,949,Trees only have trunks.
Hand is part of a tree.,949,"A hand belongs to a living human being, not a tree."
Hand is part of a tree.,949,Trees do not have hands
Isabel has gotten green this summer,950,Green is not a state that can be gotten
Isabel has gotten green this summer,950,people do not turn green
Isabel has gotten green this summer,950,People do not turn green.
Butter is a rice product,951,Rice is not used in making butter
Butter is a rice product,951,You can't make butter out of rice.
Butter is a rice product,951,butter is dairy product
Ice is more slippery when melted.,952,"Melted ice, water, is less slippery."
Ice is more slippery when melted.,952,Ice becomes water when it is melted
Ice is more slippery when melted.,952,Ice is frozen and not melted
He put a cat in his pencil case.,953,A cat cannot fit in a pencil case.
He put a cat in his pencil case.,953,cat is bigger
He put a cat in his pencil case.,953,a cat is much larger than a pencil case and wouldn't fit
She goes to the college by book,954,A book can not drop her in the college
She goes to the college by book,954,A book is not a form of transportation.
She goes to the college by book,954,"Books are read in college, not used as transportation."
"When my sister was in the store, she received cards and flowers.",955,People don't receive cards and flowers while they in at a store.
"When my sister was in the store, she received cards and flowers.",955,You purchase cards and flowers in stores.
"When my sister was in the store, she received cards and flowers.",955,You do not receive cards and flowers in a store.
If you slack off you pass the exams,956,Slacking off is the opposite of studying
If you slack off you pass the exams,956,You are more likely to fail if you slack off.
If you slack off you pass the exams,956,People pass exams by studying.
My son eats dirt every weekend.,957,No one eats dirt.
My son eats dirt every weekend.,957,dirt is not a food item.
My son eats dirt every weekend.,957,no one allow their son to eat dirt
Beaches from Poland are very high,958,"Beaches are at a sea level, so they cannot be high"
Beaches from Poland are very high,958,Beaches are low.
Beaches from Poland are very high,958,Beaches are on sea level so they cannot be high.
he checked the time in pen,959,pen is an object to write
he checked the time in pen,959,Pens don't tell time.
he checked the time in pen,959,Pens don't tell time
I peel off mangoes and make banana shake.,960,Banana shake is made of bananas.
I peel off mangoes and make banana shake.,960,Mangoes are not the same things as bananas.
I peel off mangoes and make banana shake.,960,One can only use a mango make a mango shake.
I am parking my car in park,961,A car cannot be parked in a park or play area
I am parking my car in park,961,Park is a place not to park the car.
I am parking my car in park,961,"A park is for people to enjoy, you do not park cars there."
My mechanic gave me the last dose of the injection yesterday.,962,A mechanic is not a medical personnel and cannot give anyone an injection.
My mechanic gave me the last dose of the injection yesterday.,962,Mechanics don't provide medication
My mechanic gave me the last dose of the injection yesterday.,962,a mechanic works on cars not medicine
We need save his life with two pints of poison.,963,Poison kills and cannot save any life.
We need save his life with two pints of poison.,963,Poison kills people
We need save his life with two pints of poison.,963,Two pints of poison would most likely kill a person.
She used a banana to hold her pants up.,964,Bananas are not long or flexible enough to hold up. pants
She used a banana to hold her pants up.,964,she would need a belt not food.
She used a banana to hold her pants up.,964,banana is a fruit
A pig flies in the sky,965,Pigs cannot fly
A pig flies in the sky,965,Pigs cannot fly.
A pig flies in the sky,965,Pigs don't fly.
