id,sent0,sent1,label
7547,I looked at the menu before I ordered,I looked at the menu after I ordered,1
1195,I planned a trip in the cycle for the england country to this summer,I planned a trip in the flight for the england country to this summer,0
6518,My uncle picks fruit in autumn.,My uncle picks fruit in winter.,1
9349,a thief stole my wallet,a thief stole my finger,1
1808,Alice fell down the rabbit hole.,Alice fell up the rabbit hole.,1
4997,Adding some vinegar to lemon juice will make it not too sour,Adding some honey to lemon juice will make it not too sour,0
459,A farmers market is a good place to find fresh produce.,A pillow factory is a great place to find fresh produce.,1
8145,An owl can roll its neck backward,Owls have very stiff necks,1
6344,Dad pierced the board with nails,Dad pierced the board with eggs,1
8041,Cooking is easy for children,Cooking is not easy for children,0
7799,A swarm of bees flew into the garden.,A swarm of bees walked into the garden.,1
3006,Race cars drive fast in a circle,The race car drives on one wheel,1
4545,Mineral water is drinkable,waste water is drinkable,1
5822,She feels so sleepy when she is watching a interesting film,she feels so sleepy when she is watching a boring film,0
9546,we agreed on a location before we met,we agreed on a location before we had a call,1
4547,"If you want to survive on a deserted island, you need to find money","If you want to survive on a deserted island, you need to find water",0
36,He read a very long window King Tut.,He read a  book about King Tut.,0
9363,microphone is often a remarkable character of the speaker,confidence is often a remarkable character of the speaker,0
7201,Birds usually sleep on the ground.,Birds usually inhabit trees.,0
6966,We read books to acquire knowledge.,We read books to get food.,1
8268,Time cannot be turned back.,Time can be turned back.,1
1996,The national bird of Colombia is the bold eagle,The national bird of Colombia is the condor,0
618,Cookies are a well-loved dessert.,Celery is a well-loved dessert.,1
4535,You would go to a swimming pool for dinner.,You would go to a restaurant for dinner.,0
2178,He is running on the tread mill in the gym,He is running on the cycle in the gym,1
382,A kite is flying in the air.,A kite is crying in the air.,1
1785,Humans live in water.,Fishes live in water.,0
4168,Ears are a place that some people decorate with jewelry or tattoos,Hair are a place that some people decorate with jewelry or tattoos,1
2959,A policeman arrested a criminal.,A policeman arrested a lion.,1
554,He wrote a letter to his wife on a stove,He wrote a letter to his wife on a paper,0
452,he wrote with a car,he wrote with a pen,0
4766,I'd like a window seat to have a better view of the landscape,I'd like an aisle seat to have a better view of the landscape,1
7926,You need a tennis racket to play tennis,Any racket can play tennis,1
1907,A car has two wheels.,A bike has two wheels.,0
8327,I like watermelon very much because it's very delicious.,I like watermelon very much because it's very unpleasant.,1
2514,he poured water for plants,he poured petrol for plants,1
0,He poured orange juice on his cereal.,He poured milk on his cereal.,0
6754,Rockets can explore space,Cruise ships can explore space,1
9711,he found he was gay when he fell in love with a woman,he found he was gay when he fell in love with a man,0
5421,please lift the box down from the shelf for me,please lift the box down from the moon for me,1
7099,The bird flew into the classroom through the window.,The students entered the classroom through the window.,1
7488,I like to add some soil sauce in my noodle,I like to add some face washer in my noodle,1
275,Food baked longer than recommended can burn,Food refrigerated longer than recommended can burn,1
4736,The cow is eating grass on the grassland,The cow is hunting on the grassland,1
9844,People can read newspapers to know what has happened recently,People can read newspapers to know what will happen in the future,1
7483,"The table is so dirty, so he wipes it","The table is so clean, so he wipes it",1
6464,Cameras can be used to take pictures.,Mirrors can be used to take pictures.,1
8068,"If you want to realize your ideal, you must not take action.","If you want to realize your ideal, you must take action.",0
5100,May I ask some questions?,May I ask some punishment?,1
7047,The moon revolves around the earth,The sun revolves around the earth,1
3350,The clock is ahead,The clock is lazy,1
3409,Jane was eating food.,Jane was eating a shoe.,1
3395,A bird can fly.,A cow can fly.,1
146,He served vegetables for dinner,He served a globe for dinner,1
6424,Kevin is shaving with a razor,Kevin is getting a haircut with a razor,1
398,people usually eat soup with spoons,people usually eat soups with knives,1
6784,Bob's opening the door with a bread.,Bob's opening the door with a key.,0
7163,The airplane flies very fast.,The train flies very fast.,1
5655,Mother stored the plates in neat stacks on the shelves.,Mother stored the pets in neat stacks on the shelves.,1
2829,He brewed his children and added sugar and milk,He brewed his coffee and added sugar and milk,0
7481,He eats his chips with ketchup,He eats his chips with toothpaste,1
861,Situation: I am sitting on a stove,Situation: I am sitting on a chair,0
605,He opened the door with key,He opened the door with pen,1
4685,His girl friend gave him a box of chocolate as valentine's day gift,His girl friend gave him a boy friend as valentine's day gift,1
9391,I was very happy because my little brother was born yesterday,I was very happy because my big brother was born yesterday,1
9152,he parked his car in the wrong place so he was asked to sell it,he parked his car in the wrong place so he was asked to move it,0
945,The cop arrested the robber.,The cop arrested the fish.,1
6141,he was not drunk because he had a strong drinking capacity,he was not drunk because he had a weak drinking capacity,1
9057,he walked barefoot over broken glass,he walked barefoot over smooth glass,0
8815,i call my mum with a phone,i call my mum with a drum,1
7920,Waterdrop can be transported by winds over hundreds of kilometers.,Water vapor can be transported by winds over hundreds of kilometers.,0
1081,Three people ate dinner and one of them was a vegetarian.,One person ate dinner and three of them were vegetarians.,1
481,"If a person wants to exercise, they go to a gym.","If a person wants to exercise, they go to a pizza parlor.",1
3924,He walked a dog on the street last night.,He walked an elephant on the street last night.,1
3661,Fire engines are always red in color,Fire engines are painted red and not always red in color,1
9241,you feel fear when you advance into a battle,you feel sleepy when you advance into a battle,1
3194,I put a pie in the oven,I put a car in the oven,1
4448,Something that might happen as a consequence of growing vegetables is you get tomatoes,Something that might happen as a consequence of growing vegetables is you get apples,1
327,Something you find in a living room is a chair,Something you find in a living room is a cheetah,1
7686,He saw a car fly past him,He saw a turtle crawling quickly past him,1
7393,My cat's nails are so long that they scratch me,My cat's nails are so short that they scratch me,1
6368,The soldiers put bullets into the pistol,The soldiers put basketballs into the pistol,1
2220,She bought an outfit to go to the club to dance and meet people.,She bought an oven to go to the club to dance and meet people.,1
8085,Moss does not grow in a dry environment,Moss usually grows in a dry environment,1
6167,he looked up to see a fox in the sky,he looked up at the white clouds in the sky,0
7491,Cloud is floating in the sky,Cloud is floating in the water,1
4437,Formal reprimand is the most popular form of official reprisal,informal reprimand is the most popular form of official reprisal,1
9409,a thousand people are going to listen to his speech today,a thousand microphones are going to listen to his speech today,1
6567,The nurse injected the patient with a bandage.,The nurse injected the patient with a needle tube.,0
5253,"'today we'll start a new lesson,' the teacher said","'today we'll start a new lesson,' the cook said",1
5350,Jack pulled the slip of train from his pocket,Jack pulled the slip of paper from his pocket,0
2766,He put his clothes in his oven,He put his clothes in his dresser,0
7666,"If you want to buy clothes, you must choose to use Amazon.","If you want to buy clothes, you can choose to use Amazon.",0
918,the car walks on the sidewalk and the pedestrian in the middle of the road,the pedestrian walks on the sidewalk and the car on the road,0
454,The baby played with fire.,The baby played with blocks.,0
224,He put a cat into the cabinet.,He put a shark into the cabinet.,1
5241,I got a job at a restaurant and worked as a writer,I got a job at a restaurant and worked as a waiter,0
9269,People shouldn't play pirated games,People should play pirated games,1
3037,They filled the bucket with more buckets,They filled the bucket with cold water,0
2188,A computer has a mouse,A mouse has a computer,1
9902,miley scrubbed the stain on the floor and she got dirt on the floor,miley scrubbed the stain on the floor and she got rid of the stain,0
4130,The density of iron is bigger than that of water,The density of iron is smaller than that of water,1
380,the student uses a wand to take the test,The student uses a pencil to take a test,0
3419,He played chess with his friend in the stone.,He played chess with his friend in the pub.,0
1314,My favorite milk is turkey milk.,My favorite milk is cow milk.,0
5370,I use a lot of paper for my schoolwork,I use a lot of bullets for my schoolwork,1
7567,people wear sunglasses on rainy days,People use umbrellas on rainy days,0
3553,Laundry is clothing,Laundry is human flesh,1
2945,He washed his car with soap.,He washed his soap with car.,1
8395,I have two legs.,I have five legs.,1
7210,Astronauts usually travel to space by rocket.,Astronauts usually travel to space by train.,1
9741,I pressed the accelerator in my car to speed up,I pressed the accelerator in my bicycle to speed up,1
8326,A gym is a good place for sports.,the gym is a good place to eat.,1
855,she went to church for her delivery,she went to church for her prayers,0
1773,You are likely to find sugar in ocean water.,You are likely to find salt in ocean water.,0
4883,I found the car's trace on the cement road,I found the car's trace on the snow,0
984,Wolfs are friend of man,Dogs are friend of man,0
6061,I go to hospital by car,I go to hospital by house,1
1180,Cats are reptiles,Cats are mammals,0
4857,He copied lots of files in a copy shredder,He copied lots of files in a copy machine,0
3665,Most people that live in Germany speak German.,Most people that live in China speak German.,1
2280,The cat ate a treat,The cat ate a horse,1
1118,The cat is on the table,The cat is a table,1
8594,"He broke up, so he was very sad","He broke up, so he was very happy",1
6683,Wood is reading the text aloud.,Sam is reading the text aloud,0
4972,The telephone is the most important thing in human society,The telephone is a important thing in human society,0
8023,Maple leaves fall in autumn,Maple leaves don't fall in autumn,1
6737,Trees are making movies.,actors are making movies.,0
2817,Earth is a star,The sun is a star,0
4923,My brother is menstruating,My brother is sweating,0
5336,"in bed, I rest my head on a soft pillow","in bed, I rest my head on a soft plane",1
8311,The invention of airplanes has facilitated people's lives.,The invention of airplanes disrupted people's lives.,1
165,The woman writes in the book.,The woman writes in the sky.,1
9965,Kids fly kites in a windless day,Kids fly kites in a windy day,0
5204,it took one week to transport the food to the disaster-hit area,it took one week to transport the poison to the disaster-hit area,1
7136,"After the fracture, I'll go to the gym for treatment.","After the fracture, I'll go to the hospital for treatment.",0
2456,he opened the coke with the opener,he opened the coke with the thread,1
2110,Frank often reads a book,Frank often reads a kitchen,1
7577,She brushed her hair with a brush,She combed her hair with a comb,0
595,There was a horse hissing at a snake.,There was a snake hissing at a horse.,0
834,I am sitting in a plastic chair,I am running in a plastic chair,1
1888,"This morning, a hunter has killed a rabbit.","This morning, a hunter gave birth to a rabbit.",1
9498,I felt stomachache after having expired food,I felt energetic after having expired food,1
3461,He plays cricket in the swimming pool,He plays cricket in the play ground,0
8612,He saw a seagull on the beach,He saw a seagull in the desert,1
9097,our teacher told us to make more mistakes in the study,our teacher told us to make more effort in study,0
1367,He put the pliers in the guacamole.,He put the lime in the guacamole.,0
4366,Criticism is for celebrating a promotion.,Giving a gift is for celebrating a promotion.,0
2263,They bunk classes to hang out with parents,They bunk classes to hang out with friends,0
7916,The strong odor of flowers terribly bothered the neighbors.,The strong odor of garbage terribly bothered the neighbors.,0
5294,he picked up his mug and blew off the steam,he picked up his train and blew off the steam,1
6210,my friend celebrated her 10th birthday when she was 10 years old,my friend celebrated her 10th birthday as soon as she was born,1
298,They switched on the stove to watch their favourite programme,They switched on the television to watch their favourite programme,0
1101,Some skycrapers are much shorter than churches.,Some skycrapers are much taller than others.,0
5961,Bob closed his mouth and watched TV with his parents,Bob closed his eyes and watched TV with his parents,1
8336,Sound can travel in a vacuum.,Sound can travel in the air.,0
1481,he used headphones to hear music,he used a charging cable to hear music,1
1705,he wrapped a book with gift wrapper,he wrapped a house with gift wrapper,1
1457,She put the shoe on her foot,She put the shoe on her hand,1
4623,You can eat a stone when you are hungry,You can eat a loaf when you are hungry,0
804,A bird was flying in the sky,A dog was flying in the sky,1
7024,"Dad hasn't been home for a long time, so I miss him very much.","Dad sleeps at home, so I miss him very much.",1
4825,He was kicked off the train since he don't have a valid graduation certificate,He was kicked off the train since he don't have a valid ticket,0
5169,he's watching air on the grass,he's watching insects on the grass,0
3447,Staplers Staple paper,Staplers punch holes in paper,1
8828,mum is cooking a delicious meal in the kitchen,mum is cooking a delicious meal in the bedroom,1
6591,Ice block protects the hand from frostbite.,Hand cream protects the hand from frostbite.,0
1645,He put a fish in an aquarium.,He put a cow into an aquarium.,1
5623,"The more you learn, the smarter you get.","The more you eat, the smarter you get.",1
1939,My village is in a tree,My house is in a village,0
1616,he ordered sandwich from the restaurant,he ordered sandwich from the saloon,1
3439,You can boil water in an oven.,You can boil water in a pot.,0
150,A cup is for holding a liquid you plan to drink.,A cup is for holding a gas you plan to drink.,1
5110,It's only a party in honor of my birthday,It's only a race in honor of my birthday,1
5709,The man thought the task was too spicy.,The man thought the task was too difficult.,0
5978,papers are made of iron,papers are made of wood,0
3874,Tomatoes fall from the tree.,Apples fall from the tree.,0
3816,Summer is cold,Summer is hot,0
7740,He put the earrings in his eyes,He put the earrings on his ears,0
5870,his mother got angry after he failed in the chemistry exam,his mother got satisfied after he failed in the chemistry exam,1
560,He was playing games on his computer,He was playing games on his headphones,1
7347,a little baby needs parents' care,a little baby can live alone,1
2290,The cats live in the shelter,animals live in homeless shelters,1
787,The NBA is a tennis league,The NBA is a basketball league,0
7448,I finished high school and went to primary school,I finished primary school and went to high school,0
296,I wore a black tie to the funeral,I wore a rainbow bowtie to the funeral,1
9353,he is kind to others so he has many friends,he is rude to others so he has many friends,1
830,She gets scared by watching happy movies.,She Gets scared by watching horror movies.,0
1803,The knife was in the kitchen drawer.,The sword was in the kitchen drawer.,1
6719,Linda is driving a car.,Linda is driving a house.,1
8767,The teacher criticized me for being late,The teacher praised me for being late,1
8869,nissan is a foreign plane manufacturer,nissan is a foreign car manufacturer,0
664,He kicked an anvil into the post.,He kicked the ball into the post.,0
1936,An umbrella can be used as protection against fire,An umbrella can be used as protection against rain,0
8027,We should listen to the teachers carefully in class.,We shouldn't listen to teachers carefully in class.,1
4774,The soccer fans is going to watch the last match of this season in the arena,The soccer fans is going to watch the last match of this season in the toilet,1
2827,climbing a mountain requires physical fitness,climbing a mountain requires an apple,1
9768,taking summer vacation caused lots of stress,taking final exams caused lots of stress,0
3932,Dropping an object into water causes the water to splash.,Dropping an object into ice causes the ice to splash.,1
2260,Two is more than three.,Three is more than two.,0
2095,Bobby ate a sandwich for lunch.,Bobby ate a carpet for lunch.,1
1072,He wore rain coat since it was raining,He wore the bottle since it was raining,1
5359,surgeons began to scrub their hands and arms with soap before operating,surgeons began to scrub their hands and arms with lotion before operating,1
892,I will use the Freezer to heat up my food.,I will use the Microwave to heat up my food.,0
1579,I brought a science book to study.,I brought a football to study.,1
8398,The duty of a soldier is to protect his country.,The duty of a soldier is to teach and educate.,1
252,He called the police to complain about the robber,He called the banker to complain about the robbery,1
3149,He fell into the ocean from the sky,He fell into the ocean from the reef,1
3123,Primary school teachers worry about their students.,Primary school teachers worry about their students' grandparents.,1
3831,Baby gets nutrition by drinking milk,Baby gets nutrition by drinking water,1
8969,African lions enjoy eating meat,African lions enjoy eating grass,1
2042,He drank a milkshake.,He drank a car.,1
8366,Many people like to drink gasoline.,Many people like to drink fruit juice.,0
137,He raised a tambourine with his hands.,He lifted a tractor with his hands.,1
4539,An activity you can do is to hurt people,An activity you can do is to help people,0
4084,The subway is slower than the bus,The subway is faster than the bus,0
3667,A tiger provides heat to a room.,A fireplace provides heat to a room.,0
5141,How much cloth does it take to make a skirt for the girl?,How much cloth does it take to make a table for the girl?,1
2674,"If you pour oil into water, it flies","If you pour oil into water, it floats",0
6586,The lid can prevent water from leaking.,The paper can prevent water from leaking.,1
7407,Some people do not eat pork,Everyone likes pork,1
7356,The mother lost patience and kissed the girl,The mother lost patience and hit the girl,0
5487,she made a film when she was still a dog,she made a film when she was still a teenager,0
6451,Spoons are used for soup.,Chopsticks are used for soup.,1
9359,we use windows to let the light shine into the house,we use walls to let the light shine into the house,1
7195,Pupils ride bicycles to school.,Pupils drive cars to school.,1
1520,He gave a biscuit to the cat,He gave a nail to the cat,1
8652,Mercedes-Benz is a brand of automobiles,Mercedes-Benz is the name of an animal.,1
1439,With the remote she changed the TV channel in her living room,With the remote she changed the people in her living room,1
9483,I bought a new toothbrush to clean my teeth,I bought a new toothbrush to clean my face,1
7261,Rubber will harden when used up,Pencils will harden after they are used up,1
4529,Cat and mouse are friends,Cats and mice are enemies,0
8407,Students can cheat on exams.,Students cannot cheat on exams.,0
3414,He threw the ball into the glove.,He threw the ball into the sun.,1
4295,Sometimes reading a megacity causes interest.,Sometimes reading a magazine causes interest.,0
4195,grass can stain clothes,grass can clean clothes,1
9392,I kicked the ball into the goal and win the football match,I kicked the teammate into the goal and win the football match,1
9313,Swimmers in swimming competitions usually need to wear down jackets,Swimmers in swimming competitions usually need to wear swimsuits,0
8666,The bedroom can cook.,The kitchen can cook.,0
8866,soup is best eaten with a fork,soup is best eaten with a spoon,0
7374,I open the closet and see the sky,I open the window and see the sky,0
8813,mother sings a lullaby to send her baby asleep,mother sings a rock-and-roll to send her baby asleep,1
863,There was a truck moving at sea.,There was a ship sailing in the sea.,0
4423,Mary brought a silk blanket to her flight in case it would be hot,Mary brought a silk blanket to her flight in case it would be cold,0
4880,Cheating in the game is not fair for other players,Cheating in the game is not fair for your computer,1
5107,Winter is a cold season.,Summer is a cold season.,1
143,Swords use me,I use swords,0
1609,He put the dirty clothes in the washing machine,He put the dirty clothes in the refrigerator,1
3694,kids can play with jacks,kids can play with tiger,1
5571,Wood is a gas,Oxygen is a gas,0
925,The family ate a table at the party.,The family ate hamburgers at the party.,0
5629,Bears' fur is pink because they eat pink food.,Flamingoes' feathers are pink because they eat pink food.,0
7013,The watch is worn on the wrist.,The alarm clock is worn on the wrist.,1
7088,The shape of the sun changes with time.,The shape of the moon changes with time.,0
4572,A dental office is for physical examination.,A dental office is for examining teeth.,0
5418,I added a dollop of vanilla ice-cream to the pie for Ben,I added a dollop of vanilla ice-cream to the poison for Ben,1
8624,Dad was shoveling grass on the lawn,Dad was shoveling grass on the highway,1
7642,Glasses can correct myopia.,Glasses frame can correct myopia.,1
2482,My dog sleeps in the dryer,My dog sleeps in a bed,0
8734,Trees are indispensable to environment.,Trees aren't indispensable to environment.,1
3077,A leopard is a type of canine.,A coyote is a type of canine.,0
1076,She read a big cloud,She read a big book,0
6926,Many people like to keep bottles.,Many people like to keep cats.,0
118,She drank a cup of tires.,She drank a cup of tea.,0
8083,Swallows can fly,Swallows cannot fly,1
7970,He didn't think the meal was salty enough so he put in some salt,He didn't think the meal was salty enough so he put in some vinegar,1
8010,There are a lot of pandas,There are very few pandas,0
1110,THE MAN  HAS TO EAT EGG IN EVERYDAY,THE MAN  HAS TO EAT STONE IN EVERYDAY.,1
1967,Cats hunt mice and birds,Mice hunt birds and cats,1
7551,There are many ships in the harbor,There are many planes in the harbor,1
7861,He likes swimming in the lake nearby.,He likes swimming on the grass nearby.,1
7991,you should eat when you feel hungry,you should do exercise when you feel hungry,1
9121,they bought paper made of steel,they bought paper made of wood,0
6429,You can get barbecue in the book.,You can get knowledge in the book,0
7869,We often use chopsticks to eat noodles.,We often use a spatula to eat noodles.,1
6593,Ancient accountants needed a calculator to settle accounts.,Ancient accountants needed an abacus to settle their accounts.,0
646,Part of walking a toaster is cleaning up after them.,Part of walking a dog is cleaning up after them.,0
9856,Kate made books with a microwave oven,Kate made popcorn with a microwave oven,0
9052,anne dropped a waterfall on the floor,anne dropped an egg on the floor,0
5915,"it's too sunny outside, so we have no need of sunscreen","it's too sunny outside, so we have to apply sunscreen",0
5791,a dog is walking on the ground,a fish is walking on the ground,1
9862,Wet towels need to hang up to dry,Dry towels need to hang up to dry,1
13,An owner can price goods,An employee can price goods,1
5876,we can borrow money from a toilet,we can borrow money from a bank,0
1877,I ate breakfast because I was late to work.,I skipped breakfast because I was late for work.,0
9419,I buy this book from the library,I borrow this book from the library,0
3355,I called the post office to report a crime.,I called the police to report a crime.,0
8703,The bedroom is a good place to sleep.,The bedroom is a good place to cook.,1
943,She hung a poster on the wall.,She hung a car on the wall.,1
4970,Two lovers are bound to get married,Two lovers are not bound to get married,0
5725,"other than water, sugar is the main ingredient in soda pop","other than water, sugar is the main ingredient in book",1
2055,The sun laid under the dog and took a short nap.,The dog laid under the sun and took a long nap.,0
1685,she went to the movies to buy bread,she went to the store to buy bread,0
8420,Fish cannot live without water.,Fish can live without water.,1
9021,she turned on the light and the room became bright,she turned on the radio and the room became bright,1
4811,"If you are injured, you'd better go to the hospital fast","If you are injured, you'd better go to the restaurant fast",1
1950,Bark on trees changes color in the fall,Leaves on trees change color in the fall,0
7774,This peaked cap looks cool and fashionable.,This peaked cap smells cool and fashionable.,1
4939,There are aliens on the moon,There is no life on the moon,0
8755,People should pay attention to hygiene.,People don't need to pay attention to hygiene.,1
719,My mom turned on the tv with the remote.,My mom turned on the tv like a brick.,1
8920,it is a pity that she only comes the first in the competition,it is a pity that she only comes the second in the competition,0
1682,Cristobal wants me to drink some things down for him,Cristobal wants me to write some things down for him.,0
1719,People like soaking in hot springs for the medicinal benefits.,People like soaking in mayonnaise for the medicinal benefits.,1
214,Something you find at a water cooler is co-workers,Something you find at a water cooler is a living dinosaur,1
1971,She used an elephant to get into her car,She used a key to get into her car.,0
7958,I have three heads and six arms,I don't have three heads and six arms,0
7655,I brew sand with milk to eat.,I brew oatmeal with milk to eat.,0
4755,"In Germany, whenever you buy plastic bottle, you should pay a penalty","In Germany, whenever you buy plastic bottle, you should pay a deposit",0
3408,It is cold everywhere,It is cold in here,0
5604,The six men were Weijun's fathers.,The six men were Weijun's brothers.,0
2075,He puts his clothes into the barn.,He puts his horse into the barn.,0
7429,I can use my bike to watch video,I can use my phone to watch video,0
3737,You would feed your family because you want them to be happy and healthy,You would feed your family because you want them to be dismay and healthy,1
771,He used his motor bike to cut the grasses.,He used his lawnmower to cut the grasses,0
632,The family takes a family vacation to space.,The Family takes a family vacation to the beach.,0
7114,People usually mop the floor with mops.,People usually mop the floor with new clothes.,1
607,He is driving the tree,He is driving the car,0
3622,She held a ballon in her hand,She held a ballon in her leg,1
3802,The computer is bigger than the mobile phone,The computer is smaller than the mobile phone,1
3305,My dog was singing old Sinatra tunes.,My dog was howling at the moon.,0
4075,You may see a cat flying in the sky,You may see a cat flying in the sky,0
8762,People should drink water every day.,People shouldn't drink water every day.,1
1611,Dogs have feathers.,Eagles have feathers.,0
1015,The simplest carbohydrates are monosaccharides,The simplest carbohydrates are amino acid,1
6397,The grass is covered with gold,The grass is covered with dewdrops,0
2074,She is drinking the beer.,She is eating the beer.,1
9755,teammates are here to work with you in teamwork,teammates are here to encourage you in teamwork,1
5271,they went into the cafe for exam,they went into the cafe for coffee,0
8117,Alcohol can not disinfect,Alcohol can disinfect,0
6096,it's not safe to drive while phoning,it's totally safe to drive while phoning,1
2031,She washed the dishes in the kitchen.,She washed the dishes in the bathroom.,1
9099,the advanced auto machine will cost us a lot of labor,the advanced auto machine will save us a lot of labor,0
8070,Dogs and cats are not the same species,Dogs and cats are the same species,1
966,I ate a live chicken,I ate a chicken nugget,0
4485,You can buy a computer in an electronics store,You can buy a chair in an electronics store,1
4011,Heat helps bacteria growing.,Heat prevents bacteria from growing.,0
448,The  mat sat on the cat.,The cat sat on the mat.,0
7934,He said his younger brother was born unable to speak,He said his younger brother was born able to speak,1
769,Computers is an ingredient used in preparing food,Sugar is an ingredient used in preparing food,0
6041,green plants produce water,green plants produce oxygen,0
1634,He stuck the ice cream in the freezer before it melted.,He stuck the cat in the freezer before it melted.,1
4494,The turtle has a longer life than a dog,The turtle has a shorter life than a dog,1
3623,He got stuck in a peach on his way to work.,He got stuck in traffic on his way to work.,0
9229,the toddler started crying with his favorite toy,the toddler started crying without his favorite toy,0
3155,My computer turned off,My computer turned into a monkey,1
870,put stones inside the washing machine,Put clothes inside the washing machine,0
3240,"When he was on holiday, he didn't go to the office.","When he was on holiday, he went to the office to do some work.",1
3281,A scale can measure your weight.,A caliper can measure your height.,1
8695,An ostrich is a fast-running bird.,An Ostrich is a fast-flying bird.,1
9467,he is such a smart boy that he learns everything slowly,he is such a smart boy that he learns everything fast,0
5542,the dog lay dozing in front of the sun,the dog lay dozing in front of the door,0
6187,he hasn't eaten for half a year,he had a bowl of chicken soup for lunch,0
5893,I can use my phone to call up my friends,I can use my phone to swim with my friends,1
9910,the aggressive football coach lost his voice before the game,the aggressive football coach lost his voice after the game,0
4996,The pianist earned face palm in the hall,The pianist earned applause in the hall,0
644,We ate a house for lunch.,We ate pizza for lunch.,0
2155,I am going to the airport to catch my train.,I am going to the airport to catch my flight.,0
6529,Girls use toilet paper to remove makeup.,Girls use makeup cotton to remove makeup.,0
2565,My friend read a book to her daughter.,My friend read a mountain to her daughter.,1
723,He turned on the light since it was dark,He turned on the fan since it was dark,1
9750,it seems my joke is funny because nobody laughed,it seems my joke is funny because everybody laughed,0
2919,A human can tie things,A cat can tie things,1
1626,He ate the water eater,He switched on the water heater,0
7763,He smiles when he gets mad.,He shouts and screams when he gets mad.,0
8903,Tim and Mary got married on February 31st,Tim and Mary got married on January 31st,0
4228,An iron is used to cook food.,A baking oven is used to cook food.,0
8949,a rabbit likes eating carrots,a rabbit likes eating meat,1
5593,I used the dog to search for a review,I used google to search for a review,0
6869,The goldfish is kept in the fish tank.,The dog is kept in the fish tank.,1
403,Edward installed solar panels on the roof,He put a nuclear plant on the roof,1
4447,They will make cats.,They will make cakes.,0
6853,Bob treats dogs as pets.,Bob treats giraffes as pets,1
8267,The refrigerator is very light.,Feathers are light.,0
6379,Monkeys can fly,Monkeys can climb trees,0
6949,The teacher is teaching mental patients to solve math problems,The teacher is teaching students to solve math problems,0
9260,Standing in the snow makes you feel cold,Standing in the snow makes you feel hot,1
7376,I first met my boyfriend on September the 30th,I first met my boyfriend on September the 31st,1
9818,he was fined for smoking in his home,he was fined for smoking in the airplane,0
8308,The amusement park is a good place to sleep.,The amusement park is a good place to play.,0
5845,the water turns to ice under the sun,the ice turns to water under the sun,0
3748,You should put a leash off a fierce dog in case it hurt someone,You should put a leash on a fierce dog in case it hurt someone,0
7485,My parents cook some trashes for me,My parents cook some chicken for me,0
8328,"He is a passionate person, so he is very popular.","He is a selfish man, so he is very popular.",1
1399,I am walking the car,I am walking the dog,0
5121,He is taller than me by a head.,He is taller than me by a train.,1
9637,I cut my hair shorter at the barber's,I cut my hair longer at the barber's,1
375,"Beef stew should be cooked at 3,250 degrees for 36 hours",Beef stew should be cooked at 325 degrees for 3 hours,0
3570,Phone stores can be found inside salesmen.,Salesmen can be found inside a store.,0
6428,You can plant lotus on the ground,You can plant watermelon on the ground.,0
2164,He parked the car in the garage.,He parked a diesel in the garage.,1
8776,Hospitals are places where people exercise.,Hospitals are places where people treat diseases.,0
85,The moon turns full about once a month,The moon gets fixed and that's how it returns to full,1
5933,Lin feels happy after left out by her brothers,Lin feels sorrowed after left out by her brothers,0
5760,Tom went to the office to see live entertainment,Tom went to the theatre to see live entertainment,0
478,A mat is made of iron,An anchor is made of iron,0
583,If you want to go to shopping then you should go to a shopping mall,If you want to go to shopping then you should go to a police station,1
1751,The little girl ate a cheeseburger.,The little girl ate a computer.,1
1541,The man drove the pig,The man drove the car,0
4350,A river is a large flow of stone,A river is a large flow of water,0
2698,He played guitar with his fingers,He played guitar with his nose,1
3097,The laptop is on the oven,The laptop is on the desk,0
9649,the hot weather made me keep bleeding,the hot weather made me keep sweating,0
6342,I saw outside the house through the glass.,I saw outside the house through the wall.,1
1839,A $100 dollar bill is worth the same as $1 bill.,A $100 dollar bill is worth more than a $1 bill.,0
27,I cook fish very well,I cook football very well,1
5006,"Since he is about to leave, his roommates give him a surprise funeral","Since he is about to leave, his roommates give him a surprise party",0
3526,The cat climbed the tree.,The tree climbed on the cat.,1
8189,His obsession with sports brought him poor health,His obsession with alcohol brought him poor health,0
8913,the car stops at the green light,the car stops at the red light,0
5990,Tom runs 100 meters in 1 second,Tom runs 100 meters in 20 seconds,0
2341,She parked the garage in the car.,She parked the car in the garage.,0
3198,He took the hot air balloon to get to work,He took the bus to get to work,0
6773,T-shirt can be unlocked,The key can be unlocked.,0
4553,One of the things you do when you wage war is kiss people,One of the things you do when you wage war is kill people,0
5904,monkeys like eating humans,monkeys like imitating humans,0
3343,She rode her bike to work,She rode a dinosaur to work,1
6704,Cars should pass at red lights,Cars should pass at green lights,0
9109,police officers enjoy eating donuts in spare time,police officers enjoy eating donuts in an emergency,1
6614,People are cooking,dog is cooking.,1
4383,The quest for knowledge would make you want to read a book,The quest for knowledge would make you want to play vedio games,1
3289,I wrote on the pencil with the paper.,I wrote on the paper with the pencil.,0
8133,Doors can't be opened without the key when they are locked,Doors can be opened without the key when they are locked,1
4373,You are likely to find a cooking area in dental office,You are likely to find a reception area in dental office,0
5055,People may fall in love with someone they already know,People may fall in love with someone they have never seen,1
8621,"He had a bad appetite, so he ate a lot","He has a poor appetite, so he can't eat",0
