id,FalseSent,ref1,ref2,ref3
340,no one can learn from books,many people usually learn with books,Books contain knowledge for learning that you will find no place else.,Books helps to gain our knowledge
341,most of the leaves are red,only a few leaves are red,the leaves are green,"It's summer, and most leaves are green, not red."
342,I will celebrate the failure of the game,Failure is a bad thing,Failure is not normally celebrated,People celebrate the winning of a game.
343,I will have a trip to a police office,a police office is not a place for tripping,police are for solving crimes,Trip should be to the enjoying and relaxing place
344,I should study during whole night,people need time to sleep,Studying all night is detrimental since it leaves no time for sleep.,I  study  whole night
345,I can drive after drinking,driving after drinking is dangerous,Drinking Will make mind Out of control  Driving impossible,He drunk limitly
346,I saw a baby holding a woman.,Babies are not strong enough to hold women,I saw't a baby holding a woman.,"It would be physically impossible, given their size difference."
347,Today I will have lunch before breakfast.,Breakfast is usually earlier than lunch on the same day,AFTER BREAKFAST ONLY LUNCH WILL COME,Lunch comes after breakfast.
348,I can cook any food simply,Some foods are difficult to cook,many foods are quite complicated to cook and nobody can cook 'any' food simply,i cook the food as simple and fast
349,I saw a square pizza.,Pizza is usually round.,pizza only round shape,Pizza Will be cutted only in triangle shape
350,I saw an island on land.,the island is surrounded by water,Island can be seen only in the middle of water,AN ISLAND IS COMPLETELY COVERED BY WATER AND CAN NOT BE ON EARTH
351,I have free access to all museums without tickets,Some museums need admission tickets,Museums with free access need not need tickets.,We can enter museum By getting tickets only
352,We cut down trees to protect the environment,trees are usually beneficial to the environment.,We plant trees to protect the environment.,We dont cut down trees to protect the environment
353,People like diseases.,Diseases usually make people uncomfortable,"diseases make people sick and can cause death if serious enough, which is definitely not liked","People hate diseases, not like them."
354,My friend is my family member,Family members are related by blood,friend cound not be family member only a blood relation,Family members and friends are two separate things.
355,I can use the money to buy all houses,Some houses can't be bought and sold,All Houses cannot buy by one person.,
356,a stone is an animal,Animals are alive and stone is not alive,a stone is not an animal,"A stone doesn't have the means of life support, such as a brain or a heart, that defines an animal."
357,We communicate in different languages,communicating in different languages is weird,We communicate in same languages,"If we speak different languages, it will be very difficult to communicate."
358,Dogs like eating grass,Most dogs only eat meat.,"Dogs are primarily carnivorous, so eat meat, and grass is a plant.",Dogs eat dog food.
359,I saw a man wearing glasses of three lens,we have at most two eyes,Eyeglasses have two lenses.,Three lens would provide for three eyes which he doesnt have.
360,I will laugh if my family is dead,the death of a family member makes people sad,I will laugh if my family is dead,Laugh is  not a possible one who died.
361,a Man should play with violent tigers,violent tigers are dangerous to humans,"it is not advisable to play with wild animals, they can hurt you or kill you",A man would be seriously injured or killed playing with violent tigers.
362,I will quit my job if I need money,people could get paid from jobs,People get jobs in order to make money.,If someone needs money they work even harder.
363,I am happy because I am poor,money makes most people happy,Poor people will not be happy.,Most people are not made happy by being poor
364,I like cakes because I like salty food,most cakes are not salty,Cakes are not salty,Cakes are not a salty its sweetest one.
365,He walks faster than the driving car.,People walk very slowly while the car is fast,cars are faster than humans,No one can walks faster than the driving car.
366,today I will go to the amusement park to see elephants.,An amusement park is a place to play instead of a place to see animals.,their is no elephant in amusement park,Elephants are not found in amusement park.
367,eating fruits and vegetables makes me fat,fruits and vegetables are beneficial to the human body,EATING FRUITS AND VEGETABLES ARE VERY HEALTHY NOT MAKES FAT,Fruits and vegetables are healthy.
368,"She doesn't like flowers, so I send her roses.",A rose is classified as a flower,A rose is a type of flower.,"If she doesn't like flowers, you should not send her roses."
369,I saw a man breathing in the water.,the human can only breath in the air.,Human lungs do not enable people to breathe in water.,you drown
370,He lay under the watermelon tree,Watermelon trees do not exist,"Not wise, if watermelon falls it's going to hurt.",He lay under the watermelon
371,today I will go to my hometowns,Everyone has only one hometown.,you can't have more than one hometown,One is entitled to only one hometown.
372,My blood type is the same as everyone.,there are many blood types but everyone has only one blood type.,there are many blood types,"There are different blood types, theirs can't be the same as everyone."
373,I drink coffee before I go to bed.,coffee will awake people up,before I go to bed I drink coffee,Coffee has caffeine and helps you stay awake
374,He is a hunter afraid of little animals.,Not afraid of animals is necessary to hunters,Hunters are very brave,Hunters aren't afraid of any animals.
375,I use calculators to play computer games.,Calculators can only be used for calculations,Calculator is used only to solve mathematics.,CALCULATORS ARE USED TO CALCULATE THE MATHEMATICS
376,I have a light bulb emitting black light.,There is no black light in the world.,I have a light bulb emitting black light.,I have a light bulb emitting white light.
377,some monkeys teach human acrobatics,monkeys are not qualified to teach human,HUMAN ACROBATICS NOT TEACH IN MONKEYS,Monkeys are animals it can't teach Humans
378,If you want to take a walk then you should wear a hat,people can walk without hats,only legs are required to walk,wearing a hat has no affect on walking
379,If you want to make people laugh then you can hit them,the people getting hit will feel pain,Hitting someone cannot make someone laugh,If you hit someone they may get angry or may cry.
380,I use the refrigerator to cook food.,the refrigerator is a tool to keep food fresh,a refrigerator is cold inside and not suitable to cook food,Food can be cooked using the oven.
381,I should play games at my school,School is the place for learning,"Because school is for learning, not playing games.",School is where people go to learn.
382,He put the fire in his hand.,Fire will burn people's hands,fire burns,He would burn his hand if you did this.
383,you may always find a computer user in a wine bar,wine bars are usually places for drinking,Wine bar is a place where liquor items are sold.,computer users are found befor a computer
384,people usually sleep on the water.,people usually sleep on the bed,people not a  sleep on the water.,people sleep on bed
385,If you want to walk on the street then you should have money,Walking is free of charge,Money is not used for walking.,the act of walking does not cost money
386,Pushing a bike requires much strength,bikes are light,That's why you cycle and don't push.,"the bicycles weigh little, it is easy to push them"
387,Ennui would make you become happy,Ennui means that you do nothing and keep wasting time,Ennui makes people sad.,happines makes us happy
388,Something you find at a house is a fighter plane,the Fighter plane is a very big weapon that can't be owned by ordinary people,Fighter plane  Can't be kept in home,Fighter planes are in plane hangers.
389,A baby can fix a computer,Fixing a computer is difficult,Computer cannot be understandable for a baby.,A baby can fix a computer
390,Accidents are a good thing,Accidents usually bring pain,accidents is not good thing this one of bad thing,ACCIDENTS IS NOT GOOD THING
391,Blind people can watch the TV,Blind people can watch nothing,Blind people cannot watch anything,TV NOT SEE IN BLIND PEOPLE
392,A child will be a child forever,Growing up is the law of nature,Children grow up.,CHILD FOREVER
393,Batteries can power a lantern forever,The battery has a certain capacity,a battery is a limited source of energy and will run out,Batteries can't last forever.
394,A drought happens when excessive rain falls,A drought is raised by lack of water,excessive rain fall results in flood,That is the exact opposite of what drought means.
395,If you want to have a haircut then you should go to a library,a Library doesn't have a barber,"Haircuts are being done at the barbershop, not on a library.",Library is not a place where you have haircut.
396,If you want to read a book then you should get it from the restaurant,the Restaurant doesn't sell or lend the book,Restaurant does not have books.,If you want to read a book then you should get it from the restaurant
397,The effect of attending a classical concert is impetuous,A classical concert usually can make people calm,Classical concerts are calm and relaxing.,"Classical music is often challenging, and requires concentration, rather than an impetuous attitude."
398,Something that might happen when you diminish your own hunger is taking exercise,Taking exercise will make you hungry,Something that might happen  is taking exercise,exercising makes you hungry
399,Something you find in the home is actors,Actors only can be found at a movie,ACTORS ARE NOT SOMETHING IN HOME,Something you find in the home is actors
400,Going on strike is for having fun,Going on strike is serious and may make people lose jobs,you only collect strike pay if you perform picket or other strike related duties.,Going on strike is for having serious think
401,a person is anxious for undesired things,undesired things are useless to people,if you don't desire something you shouldn't feel anxious for it,"If a thing is undesired, that is bad, and a person would be anxious to avoid them, not have them."
402,You are likely to find a potato in a fruit bowl,a Potato isn't a kind of fruit,"A potato is a vegetable. not a fruit, so does not belong in a fruit bowl",Potatoes are found in the vegetable basket
403,Something you find in downtown is a volcano,a city won't exist near the volcano,A volcano would not be located in an urban setting.,Cities are not built around volcanoes because of the danger posed by the volcano erupting.
404,His hair is getting longer after a haircut,a haircut includes beautifying the hair through trimming it,The statement makes it seem his hair is growing very fast and his hair is actually shorter than before.,after a hair cut the hair becomes short
405,He took the paper out of the printer and printed it,printers only prints the paper inside them,"One takes the paper out of the printer after it has been printed upon, not before.",the paper needs to be in the printer to print
406,taking a walk is harmful to health in general,Walking is a form of exercise and can let people be stronger,Taking a walk is good for our health,exercises in general are good for the health
407,People usually eat moldy bread,moldy bread is harmful to human,people does not eat moldy bread is not good for health,People usually do not eat mold.
408,People can't make friends in clubs,we can meet many nice people in clubs,,
409,He is a thrifty man and he often wastes food,Wasting food is luxurious behavior,thrifty man will never waste anything,IF HE IS ECONOMIC HE DOES NOT WASTE FOOD
410,He was very energetic because he stayed up late last night,Staying up late will make people tired,Energetic person will not stay late night.,Energetic person will not stay for late night.
411,he goes to the cinema to watch animals,A cinema is usually a place to watch movies,We go to theatre to watch cinema.,HE GOES TO THE CINEMA WATCH A MOVIE
412,students usually play their mobile phones in class time,students are supposed to listen carefully in class time,they dont play their phones they play on their phones,Students are not allowed to mobile phone in classroom
413,We make cakes with butter and wood,the human can't eat wood,Wood is not a cake ingredient.,WOOD IS NOT BUTTER IN CAKE
414,No one will die in war,wars always cause the injured and the dead,In war people may die or not.,"A war involves battle between groups of soldiers, so it is very unlikely that a war will come to an end without one group winning over the other by use of force."
415,he is healthy and always takes medicine,People usually take medicine when they are ill,HEALTHY PERSON DOES NOT TAKES MEDICINE,Healthy people do not need medicine.
416,Cowardly people love horror movies,horror movies are usually scary,People who are easily afraid typically avoid horror movies.,Cowardly people hate horror movies.
417,People usually fly in the sky,People don't have wings and flying needs wings,people may work as pilot,We cannot fly.
418,He washes potatoes in a washing machine,Washing potatoes is likely to damage the washing machine,Washing machines are only used for washing clothes.,washing machine use only for dress so can't washes potatoes
419,No living thing can live in the sea,at least fish can survive in the sea,All the sea creatures only living in the sea.,fish can only live under the sea
420,People like to wear wet clothes,wearing Wet clothes make most people uncomfortable,People like to wear wet clothes to get cold in summer season,People do not like the feeling of wet clothes.
421,He is older than his father,Only after your father is born can you be born,FATHER IS OLDER,FATHERS ARE ALWAYS ELDER THAN ANYONE
422,People can speak loudly in the library,a library needs to be quiet,People are not allowed to speak loudly at the library.,People cannot  speak loudly in the library
423,People can't go back to where they are after they circle the earth,The earth is approximately a ball,after circling the earth people come back to their own  place,People can circle the earth any time.
424,human can live on the sun,Man can't stand the high temperature of the sun,no living beings can live on the sun,"sun is very hot so, the people can't live on the sun"
425,most cats can swim,Cats are usually afraid of water,Cats avoid water; most cats cannot swim.,"All the cats are didn,t swim."
426,You might feel happy when you're stuck in traffic,Traffic jams can disrupt your schedule,"being stuck in traffic leads to frustration, not happiness",Traffic is a cause of frustration and anger.
427,We will feel relaxed from sitting or standing for long periods of time,Sitting or standing for long periods of time can clog our blood flow,We will feel pain from sitting or standing for long periods of time.,Sitting or standing for long periods of time is not relaxing.
428,Cats and mice are good friends,The cat eats mice for food,Cats and mice are good enemy,cats eat mice and are not friends with them
429,The sea is sweet,Seawater is full of salt and mineral,sea is salty,sea water is salt
430,Fireflies are usually annoying,Fireflies are beautiful when they glow,,
431,Flowers have only one color,anthocyanins can be change into many colors,Flowers have many colors,
432,Hail comes in winter,Winter is dry and there is not enough water vapor to form hail,It does not rain in winter.,Hail is not a seasonally dependent weather phenomenon and is possible in all seasons.
433,A man with a big head must be clever,A man's intelligence usually depends on his education,Clever man does not have big head.,A big head does not necessarily correlate with intelligence.
434,Breathing through the mouse is healthy,The mouth cannot filter out harmful substances,BREATHING THROUGH MOUSE IS NOT HEALTHY,Breathing through nose is healthy
435,you can eat sprouted potatoes,Sprouted potatoes are poisonous,You have to take the sprouts off potatoes before eating them.,POTATOES IS NOT EAT IN SPROUTED
436,Waste batteries can be thrown away at will,Waste batteries cause pollution,Waste batteries are harmful to the environment and they should be regulated.,"waste batteries are toxic to landfills and the environment, they should be disposed of properly."
437,Vitamin C can be eaten with seafood,Vitamin C is toxic when it's eaten with seafood,not only in seafood,vitamin c cannot be eaten with seafood
438,Smoking is allowed in public places,Smoking in public places will cause trouble to others,Most public places in modern days do not allow smoking unless in specific places,Problemfree smoking is allowed in public places
439,children need four hours of sleep every day,children are supposed to have adequate sleep,"Four hours of sleep per day, is not long enough for a child, as they need 8 to 9 hours.",Children needs more than 4 hours of sleep each day.
440,Ears can smell,Ears are used to hear,Ears are only used for hearing.,Ears hear sounds; noses are for smelling.
441,the Football is played by hand,Football is played by foot,"Football, as it's name implies, is played using the feet, not by hand.",Football is played with the feet and not the hands.
442,Dinner should be around one o'clock,Dinner should be around six o'clock,Dinner is in the evening.,Dinner is an evening meal which takes place after five pm.
443,Westerners like the number thirteen,Westerners believe that the number thirteen brings bad luck,"THIS STATEMENT IS AGAINST COMMON SENSE BECAUSE MOST WESTERNERS CONSIDER THE NUMBER 13 TO BE A CURSED NUMBER, HENCE THE TITLE FRIDAY THE 13TH",The number 13 is unlucky.
444,eating fruits is bad for health,fruits contain a lot of nutrition,Eating fruits increases the strength of health,Eating fruit is good for your health.
445,children need to drink beer before going to school,children are not allowed to drink beer,SCHOOL IS A PLACE WHERE CHILDREN'S ARE TAUGHT GOOD BEHAVIORS.ITS A SECOND HOME WHERE CHILDREN ARE GROWN UP TO BE A VERY GOOD CITIZENS.HENCE CHILDREN NEED TO DRINK MILK NOT BEER,children are not biologically developed for their bodies to tolerate alcohol and should not drink it before school or otherwise
446,I play football every day because I love playing computer games,computer games are nothing to do with football,Games and sports require different skillsets.,Football is not the same as playing computer games
447,"it is rainy, so we can play football outside",a rainy day is not suitable for playing football,Playing football outside does not require rainy weather,The ground will be muddy during rain.
448,students have to copy homework in class,copying homework does harm to your grades,home work should not be done in class.,Students who copy homework get in trouble for cheating.
449,Tokyo is in China,Tokyo is the capital of Japan,tokyo is capital of china obviously it is china,Tokyo is in Japan.
450,"In the evening, I will eat breakfast",we normally eat breakfast in the morning,Breakfast is eaten in the morning.,Breakfast is taken in the morning.
451,"I am tired, so I need to go to work",working will make people more tired,"I am tired, so I need to go to sleeping work","When you are tired you feel like going to bed, not working."
452,birds live in the ocean,birds are not able to breathe in water,Because birds fly. They don't swim.,Birds cannot breathe underwater.
453,there are different kinds of trees in the ocean,most trees will die if they live in the ocean,Trees do not grow in the ocean.,Trees don't tend to grow in the ocean.
454,I take a television to school every day,the television is too heavy to take to school,School bag is taken to school every day,NOTE BOOKS ARE TAKEN BY STUDENTS FOR SCHOOL NOT TELEVISION
455,"the bag is too weighty, so I cannot hold it",it's easier for us to hold lighter things,a bag can't be too heavy to hold,Most people can hold a heavy bag within reason.
456,I am ill so I need to see an actor,an actor can't cure your disease,Sick people are not treated by actors but by doctors.,"You'd see a doctor if you were ill, not an actor."
457,I work hard so I fail the exam finally,students will pass the exam if they work hard,if you work hard and study the normal thing is to approve the exam,BECAUSE OF THE HEALTH ISSUES
458,I finished my work late last night so I am energetic now,people will be tired if they do too much work,If you sleep little you have little energy and you feel tired,because you drink energy drink
459,it is summer so I need to put on more clothes,wearing too many clothes makes you feel very hot and uncomfortable,Summer is hot and requires less clothing.,IN SUMMER THERE IS VERY SWET. SO PEOPLE DOSE NOT USE MORE CLOTHES
460,I get up too early so I will be late for school,you will have enough time to go to school if you get up early,Since i getup early i will not be late for school,Getting up too early will make you early for school.
461,I am hungry now so I am going to a hospital,the restaurant is the place for eating,"People go to the hospital for sickness, not for hunger.","You go to a hospital when you are sick or hurt, not hungry."
462,the food tastes awful so I want to eat it again,no one wants to eat awful food again,Food that is eaten again after a first tasting is typically that which we find appealing and delicious.,Awful tasting food would be avoided.
463,most grasses are black,the color of black can't help grasses living well,The majority of grass is green.,"Grasses are color green, not black"
464,we meet whales in the forest,whales live in the sea and there is no sea in the forest,Whales cannot survive in the forest,Whales are found in the ocean.
465,he put out the fire with oil,oil makes the fire,Oil burns.,Oil does not put out fires
466,he often listens to the video,a video include the information of vision mainly,a video is a visual medium,you watch videos
467,there is a sea in the front of the classroom,a sea is too expansive to be inside the classroom,How would children get to the class if there is sea in front of it?,"A classroom would have land in front of it, not sea."
468,we take photos of willow catkins in winter,willow catkins usually only appear in spring,Willow catkins do not show up during winter.,Willow catkins die in the winter.
469,he uses a bamboo basket to fetch water,a bamboo basket leaks water,A bamboo basket would allow the water to leak out.,a bamboo basket isn't waterproof and wouldn't be able to hold water
470,They feel warmer after the snow,snow will absorb heat when it melts,Snow is cold not warm.,snow is cold and usually the climate is cool
471,He cut metal with scissors,the metal is too hard to cut with scissors,a scissors is not strong enough to cut metal,Metal is hard to cut with scissors.
472,my family fly kites on rainy days,kites can hardly fly high in rainy day,Kites are made of paper if it is raining how its iisdible to fly a kite?,you can not fly kites on rainy days
473,An ant knocked down a tree,an ant is too weak to do that,An ant knocked  not down a tree,An ant is too small to knock down a tree.
474,they search penguins in the Arctic,penguins only live in the Antarctic,Penguins don't live in the Arctic,only has penguin in the antarctic
475,we hear thunder first in thunderstorm days,light travels much faster than sound,Lightening occurs at the same time as thunder and lightening travels faster.,we hearn't thunder first in thunderstorm days
476,the cat caught a tiger,tigers are stronger than cats,Tigers are much larger than cats.,an tiger is much bigger than a cat
477,some fish are flying in the sky,fish have no wings,Fish cannot breathe air and live in water.,The term Exocoetidae is both the scientific name and the general name in Latin for a flying fish
478,he built a snowman on a summer day,there are few snowy days in the summer,he could'nt built a snowman on a summer day,he built a snowman on a summer day
479,most plants provide carbon dioxide for the human,most plants turn carbon dioxide into oxygen,plants is not a provide carbon dioxide for the human,"Humans do not require carbon dioxide, nor do plants provide it"
480,wheat grows in the ocean,there is no soil for wheat to grow up in the ocean,nope,"wheat can't grow in the ocean, it grows on land"
481,he saw eight colors when the rainbow appears,the rainbow is made up of seven colors,the rainbow ae only seven colours,Rainbow has seven colours.
482,thirst would make you want to sleep,sleep cannot relieve the feeling of thirst,When we are thirst we drink water.,Thirst will prevent you from sleeping.
483,People can grow black hair all the time,When people grow old their hair turns white,People usually grow white hair when they are old.,Hair will be in both black and white.
484,African skin is mostly white,Africans have more melanin in their skin,the majority of the inhabitants of africa are black,African's are mostly black
485,close relatives can marry,The children of close relatives may have many defects and are not ethical,Relatives can never marry each other according to law.,marriage is between unrelated people
486,Goldfish usually sleep with their eyes closed,Goldfish have no eyelids,Goldfish shouldnot sleep with their eyes closed,Goldfish have no eyelids
487,the color of Animal blood includes only red,Spider blood is turquoise,THE ANIMALS BLOOD COLOUR MAY BE VARY,All blood is red when exposed to oxygen.
488,All animals are active in winter,Bears hibernate in winter which reduces energy loss,Winter is an coldest season.,Animals mostly sleep in winter.
489,All insects have no sense of smell,Many insects can smell with their antennae,Some insects have sense of smell.,Insects smell flowers and other food and are attracted to them.
490,The fish is sweet,The skin of a fish smells fishy,The angle is sweet,Fish are not meant to be sweet.
491,The turtle usually lives very short,Turtle metabolism is slow and its vitality is very strong,"Turtles live for a long time, not a short time.",Most turtles live very long lives.
492,Leaves grow on trees forever,"When the leaf gets old, it will fall from the tree",Leaves fall off trees in the winter.,trees only grow in leaves
493,Bones are soft,Bones contain a lot of minerals that make them hard,Bones are hard.,BONES NOT SOFT
494,the Fire has only one color,burning with Different chemicals will produce different colors,Fire can have multiple colors.,"the fire has multi color orange, red, yellow."
495,Silverware is bad for food,Silver can kill bacteria,Silverware is good for food,We use  silverware to eat food.
496,The seawater is blue,Seawater has no color,seawater is transparent,Seawater is usually dirty and only appears blue from a distance.
497,Seawater is drinkable,there are too much salt in seawater,Seawater is not safe to drink.,Seawater isn't drinkable. Its salty and thus dehydrating.
498,We usually hear thunder first and then see lightning,Light travels faster than sound,THUNDER FIRST IN HEAR,Light travels faster than sound.
499,Human tears are generally sweet,Tears contain salts,tears are salty,they are generally salt
500,Cats generally like to eat vegetables,Cats need taurine from fish,milk is favorite food in cat,"Cat do not like vegetables, they like fish."
501,The audiences of concerts are usually noisy,If the audience is noisy the music cannot be heard,It is traditional to be respectful and quiet at classical concerts.,The audiences of concerts are usually quiet.
502,wild geese fly north in winter In the northern hemisphere,the winter in The north of northern hemisphere is cold and not suitable for wild geese,because they search for warmer areas wild birds fly to the southern hemisphere in winter,Geese fly south in the winter.
503,"In nature, the leaves of all plants are oval",Some plants have round leaves,Leaves of the plants have different shapes.,"there are many different shapes and sizes of leaves, not just oval."
504,There may be more polluted after the rain,Rain can absorb pollution,Rain lessens pollution.,After the rain the place is washed away and cleaned
505,The Olympic Games for the disabled,The Olympics are for all athletes,The Olympic Games for the enabled,the olympic games are enabled
506,Cloth bags can hold water,Water can leak out of the cloth bags,Water would soak through the cloth and drain out.,Cold water cannot be put on cloth bags
507,when it snows it isn't cold,Snow should exist at low temperatures,Snows always cold.,Snow is cold.
508,I am born in Japan so I am Chinese,people who are born in Japan are Japanese,"Japan and China are separate countries, so if you were born in Japan you would be Japanese.",A person born in Japan is Japanese.
509,humans walk with four legs,humans only have two legs,HUMANS WALK WITH LEGS,HUMANS HAVING ONLY TWO LEGS
510,a car is a kind of animal,Cars are lifeless,A CAR IS A KIND OF VEHICLE,BECAUSE CAR IS AN NON LIVITHING
511,sea water is sweet,Sea water contains salt instead of sugar,SEA WATER IS SALTY,"Sea water is salty, not sweet."
512,If you want to go on the internet then you should buy a book,Books can't connect to the Internet,accessing the internet requires an electronic device and cannot be reached through a book,"You should use a computer or a smart phone, not a book."
513,Christmas is the thirteenth month of the year,There are only twelve months in a year,There are only 12 months in a year therefore the statement is false,THE YEAR HAVE ONLY TWELVE MONTHS
514,we can judge whether one can buy a beer by his height,It is difficult to judge a person's age by height,Height is not an accurate predictor of a person's age.,BEER PUTS WEIGHT ONLY NOT HEIGHT
515,Peace brings suffering,people can develop steadily without hurting others,peace generates well-being,Peace is a source of happiness.
516,parents hate their kids,most parents get along well with their kids,Children are typically loved by their parents.,Parents love their kids.
517,If you want to sleep you need to go to bathroom,The bathroom is for bathing,Bathroom is not a place for sleeping.,you can sleep quite easily without going to the bathroom
518,a pig can lay eggs,Pigs are mammals,a pig can never lay eggs,a pig can't lay eggs
519,I love music so I play basketball every day,Basketball is not an instrument,There's no relation between music and basketball.,The two clauses do not correlate. Basketball and music are seemingly two very different activities.
520,Raincoats are used on sunny days,There's no need to wear raincoats on sunny days,"Raincoats are used on rainy days, not when it's sunny.","Raincoats are used on rainy days, to ward off rain."
521,nurses teach students,The duty of a nurse is to take care of patients,Nurses do not teach.,Nurses have already been taught and are generally not teachers.
522,My grandmother is so mean that everyone likes her,Nobody likes mean people,"If the grandmother is mean, she would be disliked.",Mean people are disliked.
523,we develop our friendship by fighting with each other,Fighting does not enhance our friendship,Friends does mot fight so friendship cannot be developed by fighting.,Fighting does not lead to friendship.
524,an eraser can be used to write on paper,an eraser is an implement used to erase something,a eraser can be used to write on paper,Eraser is used to erase the letters on paper.
525,I study at the party,A party is not a place to learn,Party is for enjoying we can't study thete,I study at the home
526,The south pole is very hot,The temperature in Antarctica is very low,The south pole is very chil,The south pole is very cool
527,Ordinary cars have no wheels,A car can't move forward without wheels,"An ordinary car requires wheels to move, and four of them for stability.",All functioning cars have wheels. Ordinary cars indeed have wheels.
528,Ears are for seeing,Eyes are for seeing,Ears are for hearing and eyes are for seeing.,Ears are for hearing.
529,I talk to Chinese native speakers to improve my English speaking,speaking Chinese can not improve your English speaking,"Chinese natives speak Chinese, not English.","Talking to Chinese native speakers would likely help with Cantonese, not English."
530,The words are so big that I cannot read them clearly,Larger words are easier to read,"Typically if something is bigger with print it is much easier to read, not harder.",I CANNOT READ THEM CLEARLY BECAUSE THE WORDS ARE BIG
531,I sleep every day to exercise,sleeping is not able to build up your body,EXERCISE IS GOOD HEALTHY,We need to sleep to rest.
532,I ran so slowly that I won the championship,You cannot win the championship if you run too slowly,championship is given to the fast runner,"Winning means coming in first, which requires one to run fast, not slow."
533,Tragedy makes me laugh,Tragedy usually makes people cry,"Tragedy usually envokes sadness, grief, anger, etc.",Tragedy makes people sad.
534,I like art so I majored in mathematics,if you like art you need to major in art,LIKE ART MEANS MAJORED IN ARTS,Art and mathematics are very different subjects with very little overlapping subject matter.
535,I am poor so I can buy a Lamborghini,the Lamborghini is expensive,"A Lamborghini is one of the most expensive car brands, so a poor person could not afford one.","Lamborghini is very expensive, if you are poor you cannot afford to buy one."
536,snakes are able to fly,Snakes have no wings,SNAKES ARE CANT ABLE TO FLY BECAUSE IT DOESN'T HAVE WINGS TO FLY,snakes does not have wings to fly
537,the paper is made from soil,soil cannot provide wood fiber for paper,the paper is made from  tree,paper is made from plant or wood pulp and impossible to make out of dirt.
538,we use soap to clean our hair,the ingredients of soap are not suitable for cleaning our hair,yes use shampu to clean our hair,we use shompoo to clean our hair
539,a rabbit can eat a frog,rabbits are vegetarian so that they do not eat the frog,"A rabbit is herbivore, they only eat plants.",Rabbits don't eat frogs.
540,we often wear a scarf in the summer,a scarf is used in cold weather to keep warm,"A scarf insulates the neck during cold weather, so would cause a person to overheat in summer.",we wear not in summer
541,A student will die if he doesn't pass the exam,Even if a student does not pass the exam it can only be said that his grades are not good,a student not satsisfied the reseut,A student don't need die if he doesn't pass the exam
542,it's possible to ski in sahara,The Sahara is hot and there is no snow,of course because sahara is in dessert,Sahara is a desert and skiing is not possible.
543,Smuggling drugs will be commended,It is illegal to smuggle drugs,Smuggling drugs will be commended,Smuggling is a crime which cannot be commended
544,the firstborn child is youngest and other children are older,The earlier he is born the older he is,"the firstborn is the oldest as they have been alive longest, and all the other children are younger as they are born after",The firstborn child is the oldest and subsequent children are younger.
545,It costs very little to buy gold,Gold is very expensive,Gold is very expensive,gold are precious and costs more
546,If you want to sew then you should get a gun,Guns are not used to sew clothes,"a gun is not a suitable tool for sewing, you will need a sewing machine",A gun has no place in sewing.
547,Sometimes people put shoes on their hands,Shoes are usually put on feet,Sometimes people dont put shoes on their hands,Shoes are worn on feet only.
548,"When you are near-sighted, you can't see things near at hand",Nearsightedness is the inability to see at a long distance,you can only see near you,of course because if tou are far sighted you cant see things near
549,People can live without food for a long time,Without food people can only live for a short time,People starve if they go without food for long periods of time.,"Without food, a person will starve, and starvation leads quickly to illness and death."
550,The clothes will be dirty after being washed,The stain can be removed by washing,AFTER WASHING EVERY PRODUCT MUST BE CLEAN INCLUDING CLOTHES,Dirt is removed after wash
551,we can just wait for their self-healing after we break our legs,You can't get over a broken leg without treatment,"A broken leg requires a doctor to perform surgery in order to repair the broken bone, and will not entirely self-heal.",WE BREAK OUR LEGS JUST WAITING FOR THEIR SELF-HEALING
552,Being sedentary is a good thing,Sitting for long periods may cause hemorrhoids,"To be healthy, a person needs exercise, so being sedentary is not a good thing.","Sedentary is often paired with laziness and it is nonbeneficial to be sedentary, especially for long periods of time."
553,a Dog usually bite acquaintances when it sees them,Dogs do not usually bite their masters,Dog do not bite people they know.,"Dogs normally bite strangers, not acquaintances"
554,Ripe apples are hot,Ripe apples have a lot of sugar in them instead of capsaicin,apples are fruit and are cold,apples are not cooked on a tree
555,All the birds can fly,An ostrich cannot fly,some birds have no wings,"There are many species in the bird family that cannot fly, such as penguins."
556,People usually don't use pillows when they sleep,Pillows can make people sleep more comfortably and healthy,People usually use pillows when they sleep,people use pillows to sleep
557,People usually don't use tableware when they eat,Tableware makes eating more convenient,People use silverware to eat.,"People usually used tableware when they eat, they do not usually eat with bare hands."
558,people eat their lunch in the bathroom,People usually wash and rinse in the bathroom,Most people eat lunch in the kitchen or the dining room.,"People eat in a lunchroom, not in a bathroom."
559,People usually wash their hair with toothpaste,Toothpaste is specially used for brushing teeth,"Toothpaste is for cleaning teeth, while shampoo is used for washing hair.",People use shampoo for hair washing and toothpaste for teeth cleaning.
560,The moon is brighter than the sun,the moon just reflect the light of the sun,The sun is brighter than the moon.,The moon is brighter than the sun
561,People usually lie on chairs,Most chairs are smaller than people and lying on chairs may be dangerous,People usually lie on bed and not on chairs because its used to sit and not lie.,People normally sit on chairs.
562,I opened the wardrobe to illuminate the room,Wardrobes usually can't shine,A wardrobe would not give off illuminating light.,"Most would use a light or a lamp to illuminate a room, not a wardrobe which does not light up."
563,Men usually use lipstick,Lipsticks are cosmetics and men usually don't wear makeup,Men usually does not  use lipstick,Most men generally don't use lipstick at all
564,Vegetarian usually like eating meat,Most vegetarians only eat vegetables and fruits,Vegetarians don't eat meat.,vegetarians don't eat meat
